Nation,Concurrents,Helm,Crew,Club/Pays,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Crew Club / Pays,P tot,Ret P,Rgs
GBR,9088,Andy Smith,Tim Needham,GRANDE-BRETAGNE,1,(4),1,(6),2,1,1,1,2,-,19,9,1
GBR,9163,Ian Pinnell,Alex Davis,GRANDE-BRETAGNE,6,7,(OCS),(11),1,2,2,2,1,-,61,21,2
FRA,9075,Philippe Boite,Pierre Jean Gallo,C V ST QUENTIN,(5),2,2,2,4,3,5,(DNF),3,C V ST QUENTIN,55,21,3
SUI,9147,Caroline Jacot,Philippe Jacot,CV NEUFCHATEL,2,3,(4),3,3,(6),3,3,4,-,31,21,4
FRA,9137,Bernard Boime,Ludovic Roblin,C V ST QUENTIN,8,6,6,1,7,(9),8,(DNF),8,ASN QUIBERON,82,44,5
GBR,8514,Ben Ilffe,Richard Nurse,GRANDE-BRETAGNE,14,10,8,4,5,4,4,(DNF),(DNS),-,107,49,6
FRA,8847,Bastian Le Morvan,Matthieu Gougeon,ASPTT TROYES,4,8,5,(DNS),11,8,7,7,(16),C N BAIE ST VAAST,95,50,7
FRA,8752,Frederic Monnier,Yann Plathier,S A LYONNAIS,7,1,10,(22),6,(14),13,5,9,S A LYONNAIS,87,51,8
FRA,9099,Gilles Chapelin,Alain Karadjian,C V BORDEAUX,10,11,(18),5,(DNF),7,9,4,6,C V ST QUENTIN,99,52,9
FRA,8954,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,9,16,9,7,(19),5,(20),6,5,C N HAUTE SEINE,96,57,10
FRA,8716,Aline Martin,Yves Coltier,Y C ILE DE FRANCE,3,9,7,8,14,13,6,(DNF),(DNS),POLE NAUTI SUD GOELO,118,60,11
FRA,8820,Thibault Di Pede,Fabrice Toupet,C V SEINE-PORT,13,5,3,10,(DNF),(22),11,10,13,C V SEINE-PORT,116,65,12
FRA,8748,Xavier Broise,Bastien Couvreux,S N P H,(19),13,(16),9,9,10,16,9,11,AEPA SECTION VOILE,112,77,13
FRA,9031,Philippe Lucienne,Vivien Lucienne,VIRTUAL REGATTA YC,(12),12,12,(14),12,12,12,8,10,ABC  VOILE,104,78,14
FRA,9103,Mathieu Glade,,Y C TOULON,(21),14,14,(18),13,15,17,12,12,,136,97,15
FRA,9086,Elisabeth Neidhart,David De Monteil,Y C ILE DE FRANCE,20,23,13,16,8,11,14,(DNF),(DNS),C V SEINE-PORT,163,105,16
FRA,9068,Francois De Lisle,Marc Desjuzeur,C N FERRET,(27),17,(24),21,17,18,18,11,7,C N RANCE FREMUR,160,109,17
FRA,8870,Christian Silvestre,Romain Thivilliers,Y C ILE DE FRANCE,15,(19),(23),17,18,17,19,13,14,AEPA SECTION VOILE,155,113,18
SUI,9060,Catherine Houriet,Gil Donzé,SUISSE,17,20,11,12,16,19,21,(DNF),(DNS),-,174,116,19
BEL,8521,Bas Van Assche,Toon Van Assche,BELGIQUE,(23),21,22,19,10,21,(23),14,17,-,170,124,20
FRA,8900,Serge Gubri,Jean Claude Ancelot,C V SEINE-PORT,11,15,20,20,(DNF),(DNF),10,DNF,DNS,ASN QUIBERON,192,134,21
FRA,8729,Jordane Lafortune,Bertrand Lapeyre,C V SEINE-PORT,18,(DNF),21,15,22,23,24,15,(DNS),S N P H,196,138,22
FRA,9019,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,16,22,15,13,21,(DNF),(DNF),DNS,DNS,A C D'ALSACE LORRAIN,203,145,23
FRA,8429,Jean Charles Zimmowitch,Jerome Zimmowitch,VIRTUAL REGATTA YC,26,25,25,(DNS),20,20,22,(DNF),15,VIRTUAL REGATTA YC,211,153,24
LUX,9166,Pierre Kieffer,Liz Speyer,LUXEMBOURG,(DNF),(DNF),DNF,DNS,15,16,15,DNF,DNS,-,220,162,25
BEL,9064,Anne-Sophie Conotte,Phil Vandersteen,SNEH,22,18,17,(DNS),(DNF),DNF,DNF,DNF,DNS,-,231,173,26
GER,8052,Juergen Feuerhake,Anne Nehrenberg,Y CLUB SAARBRUCKEN,25,24,19,(DNS),(DNF),DNF,DNS,DNF,DNS,-,242,184,27
FRA,9010,Gilles Carvallo,Emilie Guilleminot,C N HAUTE SEINE,24,26,(DNF),(DNS),DNF,DNS,DNS,DNS,DNS,C N HAUTE SEINE,253,195,28
