,Sail No,Helm,Crew,Club,R1,R2,R3,R4,Pts,Pos
RSA,8340,Graeme Willcox,Alan Haylett,WITS,6,2,1,1,10,1st
RSA,8406,Paul Willcox,Wouter Langhout,VLC,2,5,2,2,11,2nd
RSA,7682,Robbie Willcox,Ditmar Herrmann,VLC,3,3,3,4,13,3rd
RSA,8520,Rudolph Holm,Dietmar Holm,PSC,1,4,4,5,14,4th
RSA,6707,Kyle Klaas,Charles Crosby,PSC,4,7,5,3,19,5th
RSA,8445,Patrick McCosh,Dennis Lapham,MAZOE,8,1,7,6,22,6th
RSA,8707,Albrecht Holm,Warwick Ham,PYC,5,6,8,10,29,7th
RSA,406*,Thomas Funke,Robert von Grunenwaldt,TYC,7,10,6,11,34,8th
RSA,8584,Hans Rogotzki,Peter Roos,PSC,9,8,11,7,35,9th
RSA,8789,Tony Murray,Eddie Forster,PSC,11,9,9,12,41,10th
RSA,7457,Phil Bennet,Mark Abbotts,VLC,10,11,12,9,42,11th
RSA,7641,B Carr,H Abbott,MAZOE,DNC,OCS,10,8,50,12th
RSA,7493,Mark Biagio,Claire O-Gerrard,PSC,12,13,13,DNC,54,13th
RSA,7672,Bobby Dutton,Leon Prinsloo,,DNC,12,14,13,55,14th
RSA,8440,Andrew Arthur,Warren Arthur,PSC,13,14,DNF,DNF,59,15th
