Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Pts,Pos
RSA,8406,Paul Willcox,Alan Haylet,RAU,3,DNC,2,2,1,1,1,1,8,1st
RSA,7286,Thomas Funke,Peter Funke,PSC,2,DNC,1,4,5,2,2,3,14,2nd
RSA,8584,Hans Rogotzki,Pater Roos,PSC,1,DNC,4,1,3,3,DNC,DNC,24,3rd
RSA,8707,Albrecht Holm,Warwick Ham,PCS,4,DNC,6,3,4,DNC,3,4,24,4th
RSA,8340,Rob Willcox,Andrew Terboton,VLC,DNC,DNC,3,5,6,4,DNC,DNC,42,5th
RSA,8520,Rudolph Holm,Leon Prinsloo,PSC,DNC,DNC,9,8,2,DNF,DNC,2,45,6th
RSA,6707,Kyle Klaas,Robert von Gruenewaldt,PSC,5,DNC,7,9,7,DNF,DNC,DNC,52,7th
RSA,7457,Philip Bennett,Mark Abbotts,VLC,DNC,DNC,5,7,DNC,DNC,DNC,DNC,60,8th
RSA,8537,Steve Hegerstrom,G Breckle,PYC,DNF,DNC,10,6,DNC,DNC,DNC,DNC,64,9th
RSA,8789,Tony Murray,Dirk Rother,PSC,DNF,DNC,8,DNF,DNC,DNC,DNC,DNC,68,10th
RSA,7493,Mark Biagio,Sue-Ellen Biagio,PSC,DNC,DNC,11,DNC,DNC,DNC,DNC,DNC,71,11th
