Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Netto,Position
RSA,7286,Thomas Funke,Peter Funke,TYC,1,1,[2],1,1,1,[3],1,11,6,1st
RSA,8520,Rudolph Holm,Dietmar Holm,PSC,[2],[2],1,2,2,2,1,2,14,10,2nd
RSA,8789,Tony Murray,Eddie Forster,PSC,3,[5],3,3,3,[4],2,3,26,17,3rd
RSA,8584,Warwick Ham,Peter Roos,PSC,4,3,[5],4,4,3,4,[DNS 6],33,22,4th
RSA,7493,Mark Biagio,Alan Wynne,PSC,[5],4,4,[5],5,5,5,4,37,27,5th
