,Sail No,Helm,Crew,Club,R 1,R 2,R 3,R 4,R 5,R 6,Pts,Pos
RSA,8520,Kyle Klaas,Dietmar Holm,PSC,DNF,1,1,3,1,1,7,1
RSA,7286,Thomas Funke,Peter Funke,TYC,1,2,2,1,2,4,8,2
RSA,8584,Hans Rogotski,D. Wertheim Aimes,PSC,2,4,3,2,4,2,13,3
RSA,8707,Albrecht Holm,Warwick Ham,PSC,3,3,4,4,3,3,16,4
RSA,8789,Tony Murray,Dirk Rothel,PSC,4,5,5,5,5,DNC,24,5
RSA,7493,Mark Biagio,Michael Biagio,PSC,5,6,6,DNF,6,5,28,6
RSA,8440,Andrew Arthur,Warren Arthur,,DNC,DNC,DNF,DNF,7,DNC,39,7
