Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Netto,Place
SWE,7655,Krister Bergström,Olle Wenrup,GKSS,4,3,1,1,13.7,5.7,1
AUS,7481,Dean Blatchford,Tom Woods,RMYC,1,4,2,2,14,6,2
AUS,8035,Stephen Mcconaghy,Andrew Mcconaghy,RMYC,3,2,18,7,45.7,21.7,3
AUS,8035,Norman Rydge,G Lange,MHYC,5,16d,3,9,53.2,30.7,4
USA,8016,Bruce Edwards,David Shelton,St.FYC,12,55,4d,5,98,37,5
USA,7875,Jeff Miller,Bruce Heckman,RYC,23,1,26,11,78,46,6
AUS,8037,Terry Kyrwood,Reg Crick,RMYC,15,8,60,6,112.7,46.7,7
AUS,7936,Gary Bruniges,Greg Gardiner,RMYC,7,21,4d,21,76,49,8
GBR,7852,Chris Haworth,Nigel Appleton,BCSC,76,10,19,4,131,49,8
USA,8013,Mike Punnett,Scott Iklé,usa,10,7,23,33,97,58,10
USA,8017,Tom Poore,Stuart Park,PAYC,6,20,15,35,99.7,58.7,11
AUS,7986,Phil Darby,Hibberd,aus,17,9,28,15,93,59,12
GBR,7961,Chris Lewis,Burgin,CAST,20,12,9,61,126,59,12
AUS,8042,Peter Hewson,Alyn Ovenden,RMYC,11,34,45,3,123.7,62.7,14
FRA,7933,Philippe Boite,Jean-Luc Muzellec,CVM,18,37,14,13,106,63,15
AUS,7978,Geoff Kyrwood,Paul Campbell,,,,,,118,65,16
USA,7876,Gary Bodie,Kevil Eley,,,,,,117,68,17
AUS,7830,David Porter,Graham Payne,,,,,,167.7,70.7,18
USA,7201,Howard (Howie) Hamlin,Jay Glaser,,,,,,120.7,70.7,19
SWE,7343,Kalle Nilsson,Christian Madsen,GKSS,13,25,16,32,110,72,20
AUS,7980,Winter,Stephen Kay,,,,,,136.5,77.5,21
AUS,7487,Gibson,Smith,,,,,,109,79,22
USA,7874,Wondolleck,Gilmour,,,,,,132,81,23
AUS,8040,M Soulsby, W Soulsby,,,,,,133,83,24
GBR,8023,Peters,Bill Masterman,,,,,,147,84,25
GBR,8001,Spence,Ward,,,,,,162,86,26
DEN,8108,Nielsen,Jensen,,,,,,141,88,27
USA,7776,Dickey,George Iverson,,,,,,143,88,28
AUS,8036,D Evans,L Evans,,,,,,150,92,29
AUS,7982,Abbott,Smith,,,,,,141,92,30
AUS,7828,Richard Gallimore,Jackson,,,,,,142,95,31
AUS,7479,Mark Robertshaw,David O’Dowd,,,,,,160,96,32
SUI,8101,Scherrer,Fischer,,,,,,161,98,33
AUS,8043,Remington,Tony Outteridge,,,,,,167,99,34
AUS,7904,David Page,Quinlan,,,,,,145,100,35
DEN,8031,Christensen,Fedderse,,,,,,157,100,36
AUS,7739,Graham Engert,Stephen Ianna,,,,,,165,101,37
GBR,80,Mclaren,G Edwards,,,,,,165,102,38
AUS,7985,Mark Engert,Spence,,,,,,154,104,39
USA,8015,Nelson,Fry,,,,,,188,106,40
DEN,8030,Petersen,Storm,,,,,,206,109,41
GBR,8049,N Willmott,P Willmott,,,,,,208,111,42
GBR,8021,Napier,Summersgill,,,,,,179,120,43
SWE,7485,Anders Lewander,Anders Mårtensson,KSSS,39,46,66,18,193,121,44
SWE,7507,Pelle Norberg,Claes Boman,BråSS,55,51,27,27,184,121,45
USA,7069,Klein,Mcduff,,,,,,183,126,46
DEN,8020,Molleby,Anders Kaempe,,,,,,189,127,47
SWE,7922,Ebbe Rosen,Lars Stugemo,MKS,38,33,46,42,184,131,48
GBR,8051,Peacock,Stewart,,,,,,202,140,49
SUI,8099,Oswald,Wiskemann,,,,,,199,143,50
AUS,7829,Blatchford,Sullivan,,,,,,213,146,51
GER,7860,Becker,Timon Böger,,,,,,229,147,52
SUI,8102,Rueger,Seitz,,,,,,208,150,53
AUS,7511,Gallagher,Blatchford,,,,,,227,157,54
AUS,7903,Kim Williams,Bentley,,,,,,223,158,55
SUI,8097,Bonjour,Bertherat,,,,,,255,158,55
AUS,7983,John Greenlees,James,,,,,,247,161,57
SUI,8100,Zuppiger,Brun,,,,,,243,161,57
FRA,7872,Fischer,Serane,,,,,,237,162,59
AUS,7938,Neil Long,Delaney,,,,,,244,169,60
GBR,8025,Robinson,Swallow,,,,,,268,171,61
AUS,7332,Taylor,Wilson,,,,,,255,179,62
FRA,8111,Vinches,Ehrardt,,,,,,264,179,62
AUS,6374,A Murray, I Murray,,,,,,253,180,64
GBR,7744,Fells,Kyte,,,,,,262,180,64
AUS,7486,Garlick,Jackson,,,,,,279,182,66
FRA,8104,Marcel Buffet,Bourdon,,,,,,273,186,67
GBR,8028,Lord,Mark Darling,,,,,,279,198,68
GER,7622,Carsten,Ralf,,,,,,279,205,69
AUS,7252,Gray,Lenton,,,,,,288,210,70
AUS,8038,Rod Badgery,Haskew,,,,,,292,213,71
FRA,8000,Pelissier,Ces,,,,,,302,213,71
AUS,7517,Holden,Hincks,,,,,,303,219,73
GER,8109,Bernd Kowalzig,Tiedemann,,,,,,317,220,74
JPN,7003,Uzawa,Morimoto,,,,,,309,221,75
USA,7199,David Penfield,Anderson,,,,,,319,222,76
CAN,7354,Renka Gesing,Adam Gesing,,,,,,313,223,77
SUI,7330,Jundt,Schiller,,,,,,323,231,78
GER,7893,Lenderoth,Ellerbeck,,,,,,330,233,79
JPN,7987,Miyamoto,Sato,,,,,,315,233,79
GER,7589,Kluck,Schmidt,,,,,,328,235,81
CAN,7959,Brown,Jacobsen,,,,,,333,236,82
AUS,6376,Alexander,Hughes,,,,,,320,237,83
USA,8012,Chris Woods,Berg,,,,,,308,239,84
SUI,8096,Muller,Huck,,,,,,333,245,85
JPN,8089,Hotta,Hotta,,,,,,340,250,86
GER,7942,Kehr,Jaeschke,,,,,,353,256,87
JPN,7730,Kawabata,Tominaga,,,,,,351,257,88
SUI,8098,Bohren,Waser,,,,,,355,258,89
SIN,7480,Hyde,Theobald,,,,,,371,274,90
