Schedule for the 1998 World Championship
Date	Day	 
Sep. 12	Saturday	Registration & Measurement
Sep. 13	Sunday	Registration & Measurement & Practice race
Sep. 14	Monday	North American Championship race 1 & 2
Sep. 15	Tuesday	North American Championship race 3 & 4
Sep. 16	Wednesday	North American Championship race 5 & 6
Sep. 17	Thursday	North America Championship race 7
Sep. 18	Friday	Measurement day
Sep. 19	Saturday	World Championship race 1
Sep. 20	Sunday	World Championship race 2
Sep. 21	Monday	World Championship race 3
Sep. 22	Tuesday	World Championship race 4
Sep. 23	Wednesday	World Championship race 5
Sep. 24	Thursday	World Championship race 6
Sep. 25	Friday	World Championship race 7,& Awards Banquet

