Country,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Totals,Pos
USA,8610,Nick Trotman,Mike Mills,,2,5,1,1,1,9,22,1
GER,8552,Mark Upton-Brown,Ian Mitchell,,6,3,5,4,4,2,"52,4",2
USA,7318,Mike Zani,Peter Alarie,,1,1,7,5,4,15,46,3
DEN,8620,Jan Saugmann,Morten Ramsbæk,,10,12,2,3,3,4,"68,4",4
USA,7773,Beeckman,,,9,5,16,10,6,5,"96,7",5
USA,8629,Tyler Moore,Scott Iklé,,4,8,28,20,8,3,123,6
GER,8550,Dietrich Scheder-Bieschin,Johan Arvedson,,7,13,12,11,18,4,129,7
GER,8669,Tim Böger,Philip Christiani,,29,17,9,13,6,6,"142,7",8
CAN,8681,Robin Brown,Rich Mundell,,3,20,19,11,31,8,"148,7",9
USA,7771,Howard Hamlin,Mike Martin,,4,2,7,111 DNS,9,1,156,10
GER,8556,Richard Tew,John Ironmonger,,21,10,4,9,29,19,156,10
GER,8676,Clive Robinson,Gary Cawthorne,,38,7,13,12,18,10,158,12
USA,8627,Tim Collins,Bill Smith,,5,24,27,21,13,7,162,13
USA,8680,Bruce Edwards,David Shelton,,20,18,10,4,23,18,163,14
USA,8083,Neal Fowler,Dave Dyson,,17,6,8,23,16,34,"169,7",15
AUS,8524,Leslie Nathonson,Ian Gregg,,35,9,12,12,19,40,181,16
GER,8481,Chips Howarth,Bill Masterman,,11,111 DSQ,3,3,12,18,"192,7",17
SWE,8232,Ebbe Rosén,Olle Wenrup,,5,4,9,111 DNS,27,7,202,18
AUS,8559,Malcolm Higgins,Pip Pearson,,8,36,21,14,25,26,202,18
DEN,8622,Tom Bøjland,Anders Friis,,111 DNC,11,3,5,25,32,204,20
GER,8378,Martin Hodgson,Paul Beasley,,34,14,15,8,38,24,205,21
USA,7873,Ellen Ablow,Alan Norman,,16,23,39,17,12,32,205,21
GER,8685,Jim Hunt,Nick Beloe,,27,8,6,2,17,111 DNS,"213,7",23
USA,7092,Kenny Elliot,Allen Kilgore,,13,28,32,16,24,36,221,24
DEN,8551,Jacob Ernst,Jesper Ernst,,48,19,20,19,14,37,229,25
USA,8059,Tim Wadlow,Michael Welch,,55,33,26,25,20,5,235,26
GER,8542,Tom Swift,Klaus Stammerjohann,,25,26,17,15,41,45,241,27
GER,8381,Steve Adams,Andrew Wood,,39,22,30,33,9,39,244,28
CAN,8442,Hugh Morrin,Michael Hoffman,,22,31,34,22,28,44,247,29
GER,8642,Stefan Schollmayer,Franscisco Sanguino-Petersen,,44,49,35,24,5,20,248,30
AUS,8644,David Porter,Peter Holden,,7,16,25,111 DNS,30,11,248,30
USA,8194,Thomas Kivney,Wolfgang Chamberlain,,18,37,33,27,40,23,250,32
USA,8576,Terry Neff,Bob Noyes,,19,21,38,29,42,30,251,33
SWE,8619,Mikael Ahrbom,Claes Thurell,,45,9,23,111 DNS,2,13,252,34
USA,8191,Macy Nelson,Geoff Ewenson,,11,27,11,111 DNS,33,11,258,35
AUS,8603,Ian Dunn,John Fry,,43,48,22,18,11,55,269,36
GER,8701,Paul Lovesy,Andy Williams,,46,38,24,7,34,49,270,37
GER,8671,Markus Mühlbauer,Angela Stenger,,9,30,41,28,52,38,270,37
USA,7358,Michael Breault,Harry Mattison,,41,34,48,30,26,21,272,39
USA,7093,Ethan Bixby,Cameron Lewis,,28,11,31,111 DNS,15,17,273,40
GER,8429,Robert Napier,Kimball Morrison,,111 DNC,29,18,13,50,14,295,41
FRA,8702,Philippe Boite,Jean-Luc Muzellec,,30,7,111 DNF,111 DNS,11,12,318,42
USA,8085,Rene de la Rie,Alan Freedman,,15,21,56,111 DNS,28,41,326,43
FRA,8455,Marcel Buffet,Damien Trouillet,,36,47,43,26,53,59,330,44
CAN,7095,John Hayley,Ian Plumbley,,23,58,52,37,39,60,341,45
DEN,8561,Peter Møller,Martin Thombs,,60,42,47,31,49,42,343,46
CAN,7605,Renka Gesing,Adam Gesing,,63,43,40,38,54,33,343,46
USA,8018,Stevios Papadakis,Dustin Romey,,37,44,53,39,55,48,348,48
USA,8263,Alexander Meller,Leslie Crane,,12,32,111 DNF,111 DNS,10,28,352,49
AUS,8668,Matthew Hansen,Mike Navarro,,54,53,44,32,48,58,361,50
USA,6821,William Pevear,Jan Aase,,50,56,14,111 DNS,35,43,363,51
USA,7346,Latane Montague,John Zakaib,,32,39,46,40,37,111 DNS,365,52
GBR,8679,David Smithwhite,Neil Fulcher,,42,45,42,111 DNS,43,27,370,53
GER,8526,Tim Bird,Arthur George,,24,52,45,111 DNS,36,46,374,54
USA,8645,Jim Englert,Thad Melton,,26,12,111 DNF,111 DNS,46,29,383,55
USA,8600,Ki Kaiser,John Badtke,,62,55,59,35,56,47,386,56
AUS,8604,Ian Burford,David Christie,,49,40,51,111 DNS,45,51,407,57
CAN,7150,Ian Torrie,Winston Cummins,,76,60,55,36,60,52,411,58
USA,8624,David Stetson,Michael Agrell,,56,66,57,41,61,59,412,59
CAN,8060,Adam Bookman,Adam Schell,,14,51,111 DNS,111 DNS,47,31,413,60
USA,7096,Bryan Largay,Matt Sanders,,40,35,37,34,111 DNS,111 DNS,416,61
USA,8024,David Chatham,Matt McQueen,,47,46,50,111 DNS,51,56,421,62
GER,8591,David Bell,Martin Hood,,74,64,54,42,57,65,428,63
GER,8460,Martin Goult,Gordon Russell,,33,25,111 DNS,111 DNS,111 DNS,16,443,64
USA,7685,Graham Alexander,Brian Richmond,,65,56,60,111 DNS,59,35,446,65
GER,8679,David Smithwhite,Neil Fulcher,,111 DNS,111 DNS,4,6,111 DNS,111 DNS,"463,7",66
GER,8583,Chris Delves,Dave Hughes,,31,41,29,111 DNS,111 DNS,111 DNS,470,67
USA,8438,John Wyles,Chris Gorton,,53,61,62,111 DNS,64,68,479,68
AUS,7667,Scott Olsen,Mark Stowell,,61,111 DNF,111 DNS,111 DNS,32,22,484,69
GER,8467,Chris Romans,Brenda Romans,,70,62,58,111 DNS,63,69,487,70
GER,8474,Chris Thorne,Andy Tyas,,64,67,49,111 DNS,44,111 DNS,494,71
USA,8643,Barney Harris,Jesse Falsone,,111 DNS,111 DNS,111 DNS,111 DNS,21,9,498,72
USA,7796,Mark Ashby,David Adams,,69,75,63,111 DNS,67,61,500,73
USA,6987,Lauren Abramson,Tom O'Toole,,57,63,111 DNS,111 DNS,62,50,502,74
GER,8678,Jim Berry,David Spragg,,52,59,111 DNS,111 DNS,111 DNS,54,534,75
CAN,7959,Scott Salter,Per Jacobsen,,73,70,111 DNS,111 DNS,65,67,543,76
USA,7776,R O'brien,,,51,68,111 DNS,111 DNS,58,111 DNS,546,77
USA,7791,Richard Peck,Dick Hamilton,,72,78,111 DNS,111 DNS,69,66,549,78
USA,7792,Kem King,,,67,111 DNS,111 DNS,111 DNS,68,57,561,79
GER,8532,Tom Clayton,Dennis Hyatt,,71,111 DNF,111 DNS,111 DNS,66,64,570,80
GER,8672,Mike Holmes,Paul Young,,111 DNS,111 DNS,11,111 DNS,111 DNS,111 DNS,572,81
GER,8704,Ian Barker,Daniel Cripps,,12,111 DNF,111 DNF,111 DNS,111 DNS,111 DNS,573,82
GER,8510,Martin Wedge,Peter Burwood,,58,54,111 DNS,111 DNS,111 DNS,111 DNS,580,83
USA,7613,Joseph Keating,Phillip Ryan,,66,111 DNF,111 DNS,111 DNS,111 DNS,62,596,84
GER,8692,Heiner Hirthe,Nicolai Völckner,,68,65,111 DNS,111 DNS,111 DNS,111 DNS,601,85
GER,8634,Jörgen Thumann,Oliver Stieglitz,,111 DNS,111 DNS,36,111 DNS,111 DNS,111 DNS,603,86
GER,8237,Richard Rowe,Robin Tetly,,75,111 DNF,61,111 DNS,111 DNS,111 DNS,604,87
FRA,8693,Gilles Carvallo,Claire Carvallo,,111 DNS,57,111 DNS,111 DNS,111 DNS,111 DNS,624,88
GER,8635,Simon Lake,Suzanne Mcdermott,,59,111 DNF,111 DNF,111 DNS,111 DNS,111 DNS,626,89
USA,6931,Shea Thorvaldsen,,,111 DNF,71,111 DNS,111 DNS,111 DNS,111 DNS,638,90
USA,6230,Paul von Grey,Paul Shipley,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
GER,8640,Vernon Ralston,Simon Spratt,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
USA,8641,Barry Kuehl,Frank Thompson,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
GER,8657,Martin Görge,Rainer Görge,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
GER,8435,Patrick McGale,Colin Rawlings,,111 DNS,111 DNF,111 DNS,111 DNS,111 DNS,111 DNS,666,91
GER,8525,Victor Stopp,Julian Pearson,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
CAN,8264,Jeff Boyd,Martin ten Hove,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
GER,8677,Ian Pinnell,Nicholas Powell,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
CAN,8360,Pierre Saint-Cyr,Norman Saint-Cyr,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
CAN,8233,François Bertrand,,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
AUS,8547,Williams,,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
CAN,8410,Clarissa Bush,Chris Gillies,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
USA,8190,Larry Rosenfield,Ted Moore,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
USA,8689,Nicholas Grey,Gerard Kivney,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
USA,7876,Brandon Charif,Hans Gode,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
USA,7877,Steve Anderes,Bruce Fleming,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
USA,8698,Collin Linehan,Paul Muus,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
CAN,7959,Scott Salter,Per Jacobsen,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
SWE,8012,Henry Amthor,Douglas Amthor,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
USA,8311,Chris Yindra,Mark McCarthy,,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,111 DNS,666,91
