Country,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Points,Rank
FRA,,Philippe Blanchard,Jean Marc Blanchard,,,,3,1
FRA,,Noel,Noel,,,,6,2
FRA,,Doerenbecher,Frères,,,,"21,7",3
FRA,,Mulder,Bruckel,,,,"29,7",4
FRA,,Steiner,Washonig,,,,"31,4",5
FRA,,Heymann,Heymann,,,,"31,7",6
FRA,,Vitelli,Champagne,,,,"33,7",7
FRA,,Feuerhake,Klein,,,,43,8
FRA,,Schutz,Schutz,,,,44,9
FRA,,Leonhard,Aulenbach,,,,49,10
FRA,,Foucaud,Koullen,,,,51,11
FRA,,Stoll,Berndt,,,,55,12
FRA,,Martin,Martin,,,,60,13
FRA,,Thierry Moreau-Defarges,Heinz,,,,61,14
FRA,,Ely,Galerneau,,,,62,15
FRA,,Bruckert,,,,,63,16
