Country,Sail No,Helm Name,Crew Name,Club,Race1,Points,Rank,,
FRA,,Blanchard,Blanchard,,,,,0,1
FRA,,Doerenbecher,Frères,,,,,"11,7",2
FRA,,Jakah,Hess,,,,,"14,4",3
FRA,,Vitelli,Simon,,,,,24,4
FRA,,Carvallo,Vandewall,,,,,"31,7",5
FRA,,Feuerhake,Gombler,,,,,"34,7",6
FRA,,Sick,Sick,,,,,"39,7",7
FRA,,Pfaadt,Ziegelmeyer,,,,,40,8
FRA,,Bruckert,Zimpler,,,,,46,9
FRA,,Kreoser,Kreoser,,,,,47,10
FRA,,Martin,Martin,,,,,52,11
FRA,,Och,Och,,,,,59,12
FRA,,Lehmann,Fischer,,,,,60,13
FRA,,Thierry Moreau-Defarges,Heinz,,,,,60,13
