Country,Sail No,Helm Name,Crew Name,Club,Race1,Race2,Points,Rank
FRA,,Stoll,Berndt,,,,"5,7",1
FRA,,Mulder,Bruckel,,,,"11,7",2
FRA,,Heymann,Heymann,,,,"13,7",3
FRA,,Schutz,Schutz,,,,"14,7",4
FRA,,Jakob,Hess,,,,18,5
FRA,,Blanchard,Frères,,,,18,6
FRA,,Vitelli,Simon,,,,23,7
FRA,,Martin,Desblancs,,,,27,8
FRA,,Pfaadt,Ziegelmeyer,,,,29,9
FRA,,Thierry Moreau-Defarges,Heinz,,,,32,10
