Country,Boat number,Helm,Crew,Club,,Points,Place
FRA,5033,Jacques Armengaud,Philippe Hoffmann,,,3,1
FRA,5339,Marcel Buffet,Blasquez,,,3,2
FRA,4891,F. Souvestre,Hadfield,,,"21,4",3
FRA,5150,Guyot,Busson,,,31,4
FRA,5168,Bert,Lallemand,,,"31,4",5
FRA,4869,Coindreau,Pradel,,,33,6
FRA,5349,Duhaud,Dunan,,,"37,7",7
FRA,4970,Gilbert Vinches,François Padovani,,,"38,7",8
FRA,4368,Mc Gregor,Melle Ribault,,,43,9
FRA,4104,Souffel,Creuzot,,,48,10
FRA,4329,Maresquet,Chabot,,,50,11
