Country,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
FRA,,Calvignac,Mme Calvignac,,1,1,1,0,1
FRA,,Burchianti,Carrere,,,,,6,2
FRA,,Arribat,Prince,,,,,"11,4",3
FRA,,Piquemal,Berges,,,,,16,4
FRA,,Tarot,Chateauviewux,,,,,20,5
