Country,SailNo,HelmName,CrewName,Club,Race 1,Points,Rank
FRA,,Simon,,,,,1
FRA,,Mulder,,,,,2
FRA,,Schutz,,,,,3
FRA,,Wastiaux,,,,,4
FRA,,Heymann,,,,,5
FRA,,Carvallo,,,,,6
FRA,,Martin,,,,,7
FRA,,Bornier,,,,,8
FRA,,Prevot,,,,,9
FRA,,Aubertin,,,,,10
FRA,,Vidal,,,,,10
FRA,,Dreyfus,,,,,10
