Country,Boat number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,4815,Philippe Blanchard,Philippe Blanchard,ACAL,1,1,1,[DNS],0,1
FRA,4927,Didier,Jourdan,CNM (Z),,,,,16,2
FRA,4636,Balmas,Balmas,CNM (Z),,,,,"17,1",3
FRA,5032,Bernard Reynier,François Dury,CNB,,,,,21,4
FRA,5393,Christian Maréchal,André Gerbet,CVC,,,,,21,5
FRA,5392,Mehl,Gindre (Jura),CYN,,,,1,28,6
FRA,5566,Noël,Noël,CVL,,,,,"32,7",7
FRA,5336,Le Gloahec,Morch,CVL,,,,,"34,7",8
FRA,5296,Bugeaud,Muesser,St Claude,,,,,38,9
FRA,4323,Th. de Chalvron,Guillon,CVL,,,,,48,10
FRA,5262,Gaillard,Peyramond,CVL,,,,,49,11
FRA,5150,Jacoutet,Gabolde,St Vic.,,,,,50,12
FRA,4702,Merland,Merland,Monté.,,,,,55,13
FRA,4004,Brook,Wantz,CYVGL,,,,,57,14
FRA,4175,Roustan,Roustan,ASB,,,,,62,15
FRA,3549,Kocher,Rigolet,CVLC,,,,,63,16
FRA,4680,Pinson,Malhens,Grenoble,,,,,65,17
FRA,4611,Moniez,Favrot,CVLC,,,,,72,18
FRA,4138,Chapouty,Chapouty,Grenoble,,,,,73,19
