Country,SailNo,HelmName,CrewName,Club,Race 1,Points,Rank
FRA,,Simon,,,,,1
FRA,,Wastiaux,,,,,1
FRA,,Mulder,,,,,3
FRA,,Schutz,,,,,4
FRA,,Schaub,,,,,5
FRA,,Heymann,,,,,6
FRA,,Aubertin,,,,,7
FRA,,Bontempi,,,,,8
FRA,,Martin,,,,,9
FRA,,Sellier,,,,,10
FRA,,Vidal,,,,,11
FRA,,Dreyfus,,,,,12
