Country,Sail No,Helm Name,Crew Name,Club,Race1,Real Points,New Points,Rank
SUI,5273,Urs Scherrer,Blum,YCZ,1,0,1,1
SUI,5319,Muller,Spirig,YCZ,2,3,2,2
FRA,5339,Marcel Buffet,Claudel,CVP,3,"5,7",3,3
FRA,4815,Blanchard,Blanchard,ACAL,4,8,4,4
GER,5035,Heck,Hotzen,YCS,5,10,5,5
FRA,5148,Vltelll,Simon,ACAL,6,"11,7",6,6
GER,4990,Jakob,Hess,YCS,7,13,7,7
GER,5366,Steiner,Steiner,SSC,8,14,8,8
FRA,4978,Doerenbecher,Frères,CYV3F,9,15,9,9
FRA,5003,Pfaadt,Ziegelmeyer,ACAL,10,16,10,10
FRA,5343,Heymann,Heymann,YCN,11,17,11,11
FRA,5424,Schutz,Schutz,YCN,12,18,12,12
SUI,4636,Balmas,Balmas,CNM,13,19,13,13
SUI,4899,Heiner Kyburz,Pestalozzi,YCZ,14,20,14,14
GER,4930,Dietz,Quellmalz,SSC,15,21,15,15
SUI,5017,Sturmer,Sturmer,JCL,16,22,16,16
FRA,4881,Pierre Nesseler,Philippe Nesseler,CVE,17,23,17,17
FRA,5566,Noel,Noel,YCN,18,24,18,18
GER,5471,Wiegers,Rothe,RVE,19,25,19,19
GER,4999,Steiner,Waskonig,YSC,20,26,20,20
FRA,4654,Mulder,Bruckel,YCN,21,27,21,21
FRA,5231,Carvallo,Henry,CNHS,22,28,22,22
FRA,4800,Martin,Desblancs,YCL,23,29,23,23
GER,4979,Klein,Tschumakott,YCS,24,30,24,24
FRA,3715,Bonempi,Bergerat,YCL,25,31,25,25
FRA,3850,Thierry Moreau-Defarges,Helnz,ACAL,26,32,26,26
GER,5127,Bruckert,Droese,JCL,27,33,27,27
FRA,4624,Ely,Lafargue,ACAL,28,34,28,28
GER,5125,Sick,Sick,3CL,29,35,29,29
GER,5405,Leonhard,Aulenbacher,YCS,36,36,36,36
FRA,2303,Foucauld,Hirth,ACAL,37,37,37,37
FRA,3332,Prevot,Barret,YCL,38,38,38,38
