Country,Boat number,Helm,Crew,Club,,,Place
FRA,,Nicolas,Deshazes,CNBP,,,1
FRA,,Claude Fixot,Plisson,CVP,,,2
FRA,4910,Roland Jouandeau,Guimard,CNV,,,3
FRA,,Pascal,Simonneau,CVESQ,,,4
FRA,,Hertel,Hertel,CVSP,,,5
FRA,,Gilbert Vinches,François Padovani,YCD,,,6
FRA,,Oudard,Besson,YCB,,,7
FRA,,Di Pede,Di Pede,CVP,,,8
FRA,,Tristan,Fountaine,YCB,,,9
FRA,,Pillon,Pillon,CVC,,,10
FRA,,Robert Leibovitch,Blasquiz,CNV,,,11
FRA,,Ces,Ces,CVSP,,,12
FRA,,Tissier,Tissier,CVSP,,,13
FRA,,Bert,Lallemand,CVP,,,14
FRA,,Blanchard,Kermarec,CVP,,,15
FRA,,Amiot,Bisson,YCD,,,16
FRA,,Robert Comte,Bonnel,YCP,,,17
FRA,,Noël,Noël,ACBB,,,18
FRA,,Gaudry,Hallez,YCD,,,19
FRA,,Christian Maréchal,Baguet,YCD,,,20
FRA,,Souvestre,Cariot,CVM,,,21
FRA,,Niverd,Niverd,YCD,,,22
FRA,,Foigny,Rieus,CVESQ,,,23
FRA,,Mc Gregor,Ribault,CVESQ,,,24
FRA,,Durozoy,Biberon,CVC,,,25
FRA,,Pecaude,Pecaude,CCV,,,26
FRA,,Leclercq,Legond,CVESQ,,,27
FRA,,Privat,Louisnard,CVESQ,,,28
FRA,,Coindreau,Pradel,CVP,,,29
FRA,,Crosnier,Bandini,,,,30
FRA,,Fontaine,Colman,CVESQ,,,31
