Country,Sail no,Helm,Crew,Club,Race 1,Points,Place
FRA,5033,Jacques Armengaud,Philippe Hoffmann,,1,1,1
FRA,5557,Gérard Derché,Alain Derché,,2,2,2
FRA,5339,Marcel Buffet,Jean-Marc Boudier,,4,4,3
FRA,5079,Alain Doloy,Alain Sage,,5,5,4
FRA,5023,Pillon,Gault,,6,6,5
FRA,,Bouvet,Boeghlin,,7,7,6
FRA,5156,Christian Hauvette,Philippe Craplet,,8,8,7
FRA,5457,Potier,Mahe,,9,9,8
FRA,4910,Roland Jouandeau,Barataud,,10,10,9
FRA,4915,François Fischer,Jacques Chouraki,,11,11,10
FRA,4924,Amiot,Bisson,,12,12,11
FRA,4869,Coindreau,Pradel,,13,13,12
FRA,4891,Souvestre,Nicolas Vasseur,,14,14,13
FRA,5225,Croq,Croq,,15,15,14
FRA,,Durand Raucher,Nicolas,,16,16,15
FRA,5024,Bonel,Roqueteniere,,17,17,16
FRA,5580,Tincelin,Tincelin,,18,18,17
FRA,5500,Pascal,Simoneau,,19,19,18
FRA,5349,Duhau,Duhau,,20,20,19
FRA,4639,Casset,Lemarchand,,21,21,20
FRA,5168,Bert,Rougier,,22,22,21
FRA,4970,Robert Leibovitch,Blasquiz,,23,23,22
FRA,4700,Jean-François Fountaine,Leclercq,,24,24,23
FRA,5550,Christian Mautin,Charette,,25,25,24
FRA,5010,Claude Fixot,Hadfield,,26,26,25
FRA,4279,Girout,,,27,27,26
FRA,5300,Gilbert Vinches,François Padovani,,DSQ 28,28,27
