Country,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Points,Rank
FRA,,Schutz,Schutz,,,,0,1
FRA,,Philippe Blanchard,Jean Marc Blanchard,,,,"11,4",2
FRA,,Vitelii,Simon,,,,13,3
FRA,,Heymann,Heymann,,,,19,4
FRA,,Mulder,Bruckel,,,,"19,7",5
FRA,,Jakob,Hess,,,,"19,7",6
FRA,,Bontempi,Desblancs,,,,26,7
FRA,,Garnier,Garnier,,,,27,8
FRA,,Prevot,Lapin,,,,28,9
FRA,,Delorme,Delorme,,,,30,10
FRA,,Martin,Martin,,,,33,11
