Nat,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Pts,Pos
GBR,9032,Ian Pinnell,Carl Gibbon,Northampton,-2,2,1,1,1,1,1,(DNF),7,1st
GBR,9012,Andy Smith,Tim Needham,Notts County,-5,3,-4,2,2,2,2,3,14,2nd
IRL,8961,Ewen Barry,Charles Dwyer,Monkstown,3,1,2,4,-9,4,3,-9,17,3rd
USA,9002,Mike Holt,Neil Fulcher,San Francisco and Stone,-17,5,-9,3,3,6,8,1,26,4th
GBR,9006,Terry Scutcher,Christian Diebitsch,Shotley,-8,8,-10,5,4,3,4,2,26,5th
GBR,8935,Russell Short,Andrew Short,Carsington,-14,-7,3,6,7,5,5,4,30,6th
GBR,8835,Charlie Walters,Dougal Cram,Datchet Water,-13,4,5,8,6,8,-12,7,38,7th
GBR,8963,Martin Hodgson,Adrian Miles,Stone,6,-14,-17,7,5,10,6,6,40,8th
GBR,8906,Harry Briddon,Simon Briddon,Ogston,4,-9,8,-9,8,7,9,8,44,9th
GBR,8887,Rich Williams,Paul Davies,Shotley,-15,13,12,11,10,-16,7,5,58,10th
GBR,8694,Matt Hart,Daniel Hart,Shotley,7,-19,-14,12,11,13,10,14,67,11th
GBR,8905,Stuart Turnbull,Jason Lunn,Burton,-20,11,6,14,12,12,13,(DNF),68,12th
GBR,9039,Tim Rush,Richard Nurse,Burton,1,10,7,16,(DNF),19,16,(DNF),69,13th
GBR,8685,Richard Sims,Simon Wood,Carsington,-19,-20,19,13,14,9,11,10,76,14th
GBR,8701,Rob Napier,Alex Davies,Bowmoor,9,6,11,23,-37,11,21,(DNF),81,15th
GBR,8340,Graeme Willcox,Rob Marriott,BLC,10,15,15,15,13,-21,-17,16,84,16th
GBR,9013,Tudor Owen,Dan Parsons,Whitstable,-18,17,13,10,16,15,14,(DNF),85,17th
GBR,8945,Neil Rabbitts,Adam Kenney,Burton,12,18,-22,18,-19,17,15,11,91,18th
GBR,8774,John Webster,Robert Burdekin,Carsington,11,12,18,17,15,-20,19,(DNF),92,19th
GBR,8474,Chris Thorne,Mike Priddle,Portishead,22,-25,21,20,20,-24,18,13,114,20th
IRL,7771,Brian Jones,Gary Frost,Monkstown,-27,-28,27,22,25,18,23,18,133,21st
FRA,9010,Gilles Carvallo,Letissier,Nautique Haute Somme,-28,-30,28,26,22,27,20,12,135,22nd
IRL,8511,Colin Barry,Brendan Dwyer,Monkstown,16,26,16,(DNF),17,14,(DNS),DNS,136,23rd
GBR,8793,Tim Scarisbrick,Michael Male,Castle Cove,26,21,20,25,-35,22,22,(DNF),136,24th
GBR,8497,Roger Deane,Dennis Cartwright,Burton,23,33,25,21,18,25,(DNF),(DNF),145,25th
GBR,8532,Greg Brown,Ollie Boyes,Southwold,29,23,29,24,21,23,(DNS),(DNS),149,26th
GBR,8860,Bobbie Johnson,Tony Merry,Burton,21,24,(DNS),(DNS),29,DNF,27,15,163,27th
GBR,7336,Kevin Frances,Philip Male,Castle Cove,-36,-35,34,33,27,30,24,17,165,28th
IRL,8552,Michael O'Brien,John O'Gorman,Monkstown,(DNS),(DNS),35,30,32,26,26,19,168,29th
FRA,8847,Muriel Agrapart,Franck Agrapart,CNHS,32,29,23,19,28,(DNS),(DNF),DNF,178,30th
GBR,8583,Patrick Moore,Paul Bambridge,Corus Margam,34,32,31,27,26,28,(DNF),(DNF),178,31st
GBR,8510,Richard Lord,Alex Cull,Seahorse,24,16,26,(DNS),23,(DNF),DNF,DNF,183,32nd
GBR,8591,Dave Bell,Ian Merryfield,Burton,30,31,36,29,30,29,(DNS),(DNS),185,33rd
GBR,8907,Jim Berry,David Barnes,Portishead,31,22,24,(DNF),24,(DNF),DNF,DNF,195,34th
GBR,8419,Pete Mallaband,Darrel Samanjoul,Whitefriars,35,39,33,34,34,(DNF),25,(DNF),200,35th
GBR,8460,Robin Toozs-Hobson,John Driscoll,Spinnaker/Shoreham,38,36,32,28,38,(DNF),28,(DNF),200,36th
GBR,8423,Martin Wright,Stuart Preston,Burton,25,27,40,31,33,(DNS),(DNS),DNS,203,37th
GBR,6155,Nick Creak,Dom Bulfin,Hillingdon,42,40,41,36,41,(DNF),(DNF),20,220,38th
GBR,8700,Iain Christie,Walter Douie,Mayflower,37,34,37,(DNF),40,(DNF),29,DNF,224,39th
FRA,8980,Michel Boiry,Jean Claude Ancelot,Cercle de la Voile de Paris,33,38,38,(DNF),36,32,(DNS),DNS,224,40th
GBR,8525,Chris Joyner,Jeremy White,Lyme Regis,41 silver,41,39,35,39,31,(DNF),(DNF),226,41st
IRL,8679,James O'Brien,Lisa O'Brien,Monkstown,39,37,43,38,42,33,(DNF),(DNF),232,42nd
GBR,8955,Jez White,Simon Lake,Draycote/Grafham,(DNS),(DNS),30,32,31,DNS,DNS,DNS,234,43rd
GBR,8526,Russ Hopkins,Olly Hopkins,Tewkesbuy,43,42,42,37,(DNF),34,(DNF),DNF,245,44th
GBR,8457,John Wilson,Adrian Howe,Great Moor,40,(DNS),44,39,(DNF),DNF,DNS,DNS,264,45th
GBR,7577,Christian Forster,Simon Forster,Lyme Regis,(DNS),(DNS),DNF,DNF,DNF,DNF,DNS,DNS,282,46th
