Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,points,Place
FRA,3100,Marcel Troupel,Phillipe Lanaverre,CV  Bordeaux,1,6,4,16,3,2,Rififi,"28,4",1
FRA,2767,Yves Pajot,Marc Pajot,CV La Baule,3,3,7,5,2,9,Leopard,"39,7",2
FRA,2940,Marcel Buffet,Daniel Nottet,CV Paris,2,1,26,6,6,16,Ya Za,"48,4",3
FRA,3032,Derek Farrant,Robin Farrant,Hastings SC,DSQ,17,5,2,5,15,Miss VI,67,4
SWE,3036,Christer Båth,Pelle Båth,Gothenburg YC,DNF,16,1,8,26,1,Kalabalik,68,5
FRA,2907,,,,DSQ,7,13,11,11,4,,74,6
GBR,2626,Larry Marks,R. Hughes,,14,2,dnf,12,21,7,,82,7
,,,,,,,,,,,,,8
,,,,,,,,,,,,,9
,,,,,,,,,,,,,10
,,,,,,,,,,,,,11
,,,,,,,,,,,,,12
,,,,,,,,,,,,,13
ARG,,Héctor Domato,Alberto Enguix,,,,,,,,,,14
,,,,,,,,,,,,,15
,,,,,,,,,,,,,16
,,,,,,,,,,,,,17
,,,,,,,,,,,,,18
,,,,,,,,,,,,,19
,,,,,,,,,,,,,20
,,,,,,,,,,,,,21
SWE,2924,Källfelt,Carlsson,,,,,,,,,"140,7",22
,,,,,,,,,,,,,23
,,,,,,,,,,,,,24
,,,,,,,,,,,,,25
CAN,2761,Lundquist,Malone,,,,,,,,,148,26
SWE,3086,Br.,Pettersson,,,,,,,,,149,27
SWE,3106,Haraldsson,Andersson,,,,,,,,,152,28
,,,,,,,,,,,,,29
,,,,,,,,,,,,,30
,,,,,,,,,,,,,31
,,,,,,,,,,,,,32
,,,,,,,,,,,,,33
,,,,,,,,,,,,,34
,,,,,,,,,,,,,35
SWE,2729,Grandinson,Seyffarth,,,,,,,,,185,36
,,,,,,,,,,,,,37
,,,,,,,,,,,,,38
SWE,2784,Kihlmark,Arnborg,,,,,,,,,192,39
,,,,,,,,,,,,,40
,,,,,,,,,,,,,41
,,,,,,,,,,,,,42
SWE,2970,Br.,Heuman,,,,,,,,,211,43
,,,,,,,,,,,,,44
,,,,,,,,,,,,,45
,,,,,,,,,,,,,46
,,,,,,,,,,,,,47
,,,,,,,,,,,,,48
,,,,,,,,,,,,,49
,,,,,,,,,,,,,50
,,,,,,,,,,,,,51
,,,,,,,,,,,,,52
,,,,,,,,,,,,,53
,,,,,,,,,,,,,54
,,,,,,,,,,,,,55
SWE,2251,Westerlind,Särneö,,,,,,,,,267,56
,,,,,,,,,,,,,57
,,,,,,,,,,,,,58
,,,,,,,,,,,,,59
,,,,,,,,,,,,,60
,,,,,,,,,,,,,61
,,,,,,,,,,,,,62
,,,,,,,,,,,,,63
,,,,,,,,,,,,,64
,,,,,,,,,,,,,65
,,,,,,,,,,,,,66
,,,,,,,,,,,,,67
,,,,,,,,,,,,,68
,,,,,,,,,,,,,69
,,,,,,,,,,,,,70
,,,,,,,,,,,,,71
,,,,,,,,,,,,,72
,,,,,,,,,,,,,73
SWE,2641,Hellquist,Arnborg,,,,,,,,,365,74
,,,,,,,,,,,,,75
