Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Points,Place
FIN,7784,Thomas Held,Mike Laiho,,6,1,2,1,4,1
FIN,8053,Petri Ebeling,Jukka Suonpää,,3,2,1,3,6,2
FIN,7922,Mats Björklund,Mikael Nylund,,1,3,4,4,8,3
FIN,7885,Kare Tikka,Matti Dillemuth,,2,7,6,2,10,7
FIN,7824,Martonen,Pundars,,4,6,3,5,12,6
FIN,7657,Erkka Ikonen,Juha Nurmela,,7,5,5,7,17,5
FIN,8056,Jari Mäkelä,Tero Lahti,,5,8,7,6,18,8
FIN,8136,Raimo Raita,Antti Raita,,9,4,8,OCS,21,4
FIN,7581,Mikael Nylund,Jan Ekman,,8,9,9,8,25,9
FIN,8180,Parviainen,Parviainen,,10,DNS,DNS,DNS,30,10
