Nation,Sail,Num,Name,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat,Total,Net,Place
AUS,8811,Matthew Hansen,Chris White,,2,1,2,3,1,Devils Haircut,9,9,1
AUS,8817,Murray Smith,Michael Duffield,,1,2,3,1,2,Tensing Manta,9,9,2
AUS,8855,Shane Attwell,Mark Stowell,Rfbyc,3,3,1,2,3,Occy,12,12,3
AUS,9048,Andrew Cawley,Josh Mewburn,Rfbyc,4,4,4,4,4,Shore Thing,20,20,4
AUS,9017,Roger Pell,Byron Mavrick,Rfbyc,5,5,5,5,5,String Theory,25,25,5
AUS,8755,Ben Rowden,Patrick Attwell,Rfbyc,6,6,7,6,6,Kate,31,31,6
AUS,18811,Keiran Webb,Andy Muller,,7,8 DNF,6,8 DNC,8 DNC,Crimson Autograph,37,37,7
