Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Sum,Place
AUS,,Terry Kyrwood,,,2,1,6,4,3,2,19.7,1
AUS,,Ron Naughten,,,10,5,4,1,2,3,26.7,2
AUS,,J. Glider,,,3,2,11,2,6,6,35.1,3
AUS,,R. Dagleish,,,4,9,8,9,1,1,37,4
AUS,,Geoff Kyrwood,,,7,3,1,6,4,7,38.4,5
AUS,,Verdun Hiles,,,DNF,4,2,5,15,4,50,6
AUS,,S. Kiely,,,6,8,3,8,5,DNF,55.4,7
AUS,,A. Wangel,,,5,6,5,14,8,13,64.7,8
AUS,,F. Smith,,,12,7,9,12,11,16,81,9
AUS,,P. Harvey,,,8,11,21,20,13,5,86,10
AUS,,R. Down,,,18,14,7,10,10,25,89,11
AUS,,D. Bull,,,21,12,13,17,9,10,91,12
