Nation,SailNo,Helm,Crew,Club,,,Rank
GBR,9180,Nathan Bachelor,Norman Byrd,Tynemouth SC,,,1
GBR,9085,Charlie Walters,Dougal Cram,Datchet SC,,,2
GBR,8905,Graeme Wilcox,Brennan Robinson,NSC/BYC,,,3
GBR,9158,Benjamin Iliffe,Paddy Lewis,DWSC,,,4
GBR,9093,Tudor Owen,Tom Bruton,Whitstable YC,,,5
GBR,9032,Jim Blyth,D Samdral,Largo Bay SC,,,6
GBR,9178,Chris Lewns,Jarrod Simploin,RYA,,,7
GBR,9159,Mark Weston,Andy Weatherspoon,West Riding SC,,,8
GBR,8432,Russ Wheeler,Lee Marriott,IOSSC,,,9
GBR,8881,N Rabbits,J Carter,Burton SC,,,10
GBR,9126,Sturart Turnball,Richard Nurse,Burton SC,,,11
GBR,9156,Mike Pickering,Mike Priddle,Restronguet SC,,,12
GBR,8963,Martin Hodgson,Adrian Mills,Stone SC,,,13
