Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Boat,Total,Nett,Rank
AUS,9192,Mark Stowell,,,2,3,2,1,(7.0),4,(6.0),3,3,Prawn Broker,31,18,1st
AUS,9059,Christopher Paterson,Thor Schoenhoff,,1,1,3,2,3,7,2,(11.0 DNC),(11.0 DNC),FrankenJess,41,19,2nd
AUS,8855,Nicholas Mariani,Alex Thomson,,(5.0),2,(5.0),5,2,3,4,4,2,Epileptic Octopus,32,22,3rd
AUS,8973,Riley Skipworth,,,6,(8.0),7,(11.0 DNC),1,1,5,5,4,Lego,48,29,4th
AUS,9226,Matthew Hansen,Chris White,,3,4,6,(11.0 DNC),5,5,(7.0),2,5,The Wolf,48,30,5th
AUS,9048,Robert Fleming,Shane Attwell,,4,5,4,3,(11.0 DNC),(11.0 DNC),11.0 DNC,6,6,Shore Thing,61,39,6th
AUS,8817,Michael Duffield,Adam Brenz-Verca,,(11.0 DNC),(11.0 DNC),1,4,11.0 DNC,11.0 DNC,11.0 DNC,1,1,Tenzing Norgay,62,40,7th
AUS,9017,Roger Pell,Ed Repsevicius,,8,6,(11.0 DNC),(11.0 DNC),4,6,1,11.0 DNC,11.0 DNC,String Theory,69,47,8th
AUS,8667,Grant Abbott,Matthew Till,,7,7,(11.0 DNC),(11.0 DNC),6,2,3,11.0 DNC,11.0 DNC,Swing Shift,69,47,9th
AUS,8176,Nat Marks,David Dicks,,(11.0 DNC),(11.0 DNC),8,6,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,Wet Market,91,69,10th
