Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,Boat,Total,Nett,Rank
AUS,9059,Christopher Paterson,Thor Schoenhoff,Fremantle Sailing Club,2.0,1.0,1.0,1.0,2.0,(4.0),(4.0),1.0,FrankenJess,16.0,8.0,1st
AUS,9192,Mark Stowell,Jake Bessen,Fremantle Sailing Club,3.0,3.0,2.0,2.0,(5.0),1.0,(5.0),3.0,prawnbroker,24.0,14.0,2nd
AUS,8855,Nicholas Mariani,Alex Thomson,Fremantle Sailing Club,1.0,6.0,6.0,3.0,3.0,(8.0),(9.0),5.0,Epileptic Octopus,41.0,24.0,3rd
AUS,8817,Michael Duffield,Adam Brenz-Verca,Fremantle Sailing Club,4.0,2.0,3.0,4.0,(11.0 OCS),9.0,2.0,(11.0 DNC),tensing norway,46.0,24.0,4th
AUS,8811,Christopher Charlwood,Amelia Catt,Fremantle Sailing Club,(11.0 DNC),(11.0 DNC),11.0 DNC,11.0 DNC,1.0,2.0,1.0,2.0,Crimson Autograph,50.0,28.0,5th
AUS,9048,Robert Fleming,Shain Attwell,Fremantle Sailing Club,(8.0),4.0,4.0,5.0,7.0,7.0,3.0,(11.0 DNC),Shore Thing,49.0,30.0,6th
AUS,8667,Grant Abbott,Matthew Till,"Fremantle Sailing Club,Mandurah Offshore",6.0,5.0,(7.0),7.0,4.0,3.0,(8.0),6.0,Swing Shift,46.0,31.0,7th
AUS,9226,Matthew Hansen,Chris White,Fremantle Sailing Club,5.0,(7.0),5.0,6.0,(11.0 OCS),5.0,7.0,4.0,the wolf,50.0,32.0,8th
AUS,8973,Riley Skipworth,John Goodchild,Fremantle Sailing Club,7.0,(8.0),(8.0),8.0,6.0,6.0,6.0,7.0,Lego,56.0,40.0,9th
AUS,9017,Roger Pell,Ed Repsevious,Fremantle Sailing Club,9.0,9.0,9.0,(11.0 DNC),8.0,(10.0),10.0,8.0,String Theory,74.0,53.0,10th
