Nation,Boat,Helm,Crew,Club,Ra,R2,R3,R4,R5,R6,R7,R8,Total,Netto,Place
USA,9202,Mike Holt,Rob Woelfel,,1,2,1,1,1,(3),(3),2,14,8,1
AUS,9194,Robin Duessen,David Snoad,SA,(6),1,2,2,(4),1,2,4,22,12,2
AUS,9059,Christopher Paterson,Thor Schoenhoff,WA,4,(5),4,4,2,(16),1,5,41,20,3
AUS,8946,Sandy Higgins,Paul Marsh,SA,2,(6),5,(6),3,4,4,3,33,21,4
AUS,8794,Michael Babbage,James Mcallister,NSW,3,3,3,3,(9),8,(9),8,46,28,5
AUS,9191,Malcolm Higgins,Angus Higgins,SA,(7),7,(8),5,6,7,6,1,47,32,6
AUS,8957,Peter Woolman,Phil Scapens,SA,8,4,6,(22),(17),13,5,7,82,43,7
AUS,8817,Michael Duffield,Anthony Gaunt,WA,5,(18),10,12,5,5,10,(20),85,47,8
AUS,9209,Alexandra South,Marcus Cooper,SA,10,9,(12),11,12,2,(14),6,76,50,9
AUS,8920,Jeffrey Robinson,Adam Wyatt,,(35) RET,12,7,8,13,6,(17),13,111,59,10
AUS,8855,Nicholas Mariani,Alexander Thomson,WA,(35) DNC,11,(15),9,7,9,13,11,110,60,11
AUS,6819,Ian Taylor,Tom Stuchbery,Vic.,13,(19),11,10,10,(21),8,10,102,62,12
AUS,8760,Daniel Roos,Daryl Roos,ACT,(17),16,9,7,11,11,16,(21),108,70,13
AUS,9192,Mark Stowell,Jake Bessen,WA,9,(17),14,14,14,(17),15,9,109,75,14
AUS,8781,Chris Gregg,Ian Gregg,QLD,19,8,16,(24),15,10,(23),12,127,80,15
AUS,9223,Alexander Higgins,David Ottaway,SA,16,22,19,(35) DNC,8,12,7,(25),144,84,16
AUS,8811,Matthew Hansen,Chris White,WA,11,10,22,15,16,(25),11,(24),134,85,17
AUS,9022,Ian Burford,David Christie,SA,14,13,20,17,(22),14,(22),15,137,93,18
AUS,8890,Martin Pike,Dave Clayton,SA,(35) DNC,15,13,13,24,18,27,(30),175,110,19
AUS,8173,Brian Pike,Riley Pike,NSW,15,20,(24),23,(25),20,21,16,164,115,20
AUS,8785,James Ryssenbeek,Andrew Mccole,VIV,12,28,21,20,21,15,(35) DSQ,(35) DNC,187,117,21
AUS,9071,Richard Hyde,Lindsay Gilbert,QLD,(35) RET,14,25,22 SCP,(26),23,18,17,180,119,22
AUS,8968,Andrew Cawley,Patrick Attwell,WA,(35) DNC,21,(29),19,18,19,24,18,183,119,23
AUS,9048,Robert Fleming,Shane Attwell,WA,(35) DNC,26,27,(35) DNC,19,22,12,19,195,125,24
AUS,9205,Sam Cronin,Kevin Whitbread,NSW,18,(30),23,16,23,(35) DNC,25,22,192,127,25
AUS,9115,Steve Howden,Sean Managh,VIC,(35) RET,25,17,25,20,(35) DNC,28,14,199,129,26
AUS,8589,Brooke Jones,Brian Jones,SA,20,(29),(28),21,27,24,19,27,195,138,27
AUS,9018,Brett Bowden,Tim Jeans,VIC,22,24,26,26,(35) DNF,(35) DNF,20,26,214,144,28
AUS,8626,Scott Lidgett,Mike Oxley,ViIC,21,27,(30),27,(28),26,26,28,213,155,29
AUS,9074,Earle Alexander,John Macarthur-King,QLD,(35) DNC,23,18,(35) DNC,35 DNF,35 DNC,35 DSQ,23,239,169,30
AUS,8512,Martin Smith,Sam Byass,SA,(35) RET,(35) DNF,31,28,29,27,30,29,244,174,31
AUS,8922,Michael Lawrence,Graeme Murphy,VIC,(35) DNC,31,(35) DNC,35 DNC,35 DNF,35 DNC,29,31,266,196,32
AUS,9167,Nigel Lott,Bob Franks,QLD,(35) DNC,(35) DNC,35 DNC,35 DNC,35 DNC,35 DNC,35 DNC,35 DNC,280,210,33
AUS,9210,Michael Quirk,Joel Castle,NSW,(35) RET,(35) DNC,35 DNC,35 DNC,35 DNC,35 DNC,35 DNC,35 DNC,280,210,33
