Nation,Sail NONo.,Helmsman,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,6589,P Colclough,,Lowton,14,0.75,0.75,0.75,0.75,5,8,1
GBR,6673,E Owen,,Holyhead,34,2,3,3,3,10,11.75,2
GBR,6594,P Milanes,,Felixstowe,4,14,4,2,5,0.75,15.75,3
GBR,6539,M Lingwood,,Hastings,9,9,7,7,10,2,34,4
GBR,6553,P White,,Felixstowe,2,13,12,8,9,6,37,5
GBR,6686,P Bainbridge,,Lymington Town,5,5,5,14,8,19,37,6
GBR,6021,R Napier,,Hampton,35,10,2,11,20,4,47,7
GBR,6595,Mike Hattemore,,Worthing,31,8,9,12,6,12,47,8
GBR,6128,M Platts,,Felixstowe,66,21,6,16,2,7,54,9
GBR,6688,R Parker,,Lymington Town,17,4,16,15,7,14,56,10
GBR,6544,Neil Wilmott,,Grafham Water,39,25,13,6,16,3,63,11
GBR,6641,J Locke,,Hayling Island,18,22=,8,13,12,13,64,12
GBR,6552,R Lord,,Grafham Water,6,7,22,21,113R,9,65,13
GBR,6447,D White,,Felixstowe,16,24,17,4,113R,8,69,14
GBR,6517,S France,,Essex,33,3,18,27,4,21,73,15
GBR,6551,N Thornton,,Holingworth,12,30,25,10,17,11,75,16
GBR,6645,C Hornsey,,Locks,20,33,10,20,15,25,90,17
GBR,6122,J Hereward,,Frensham Pond,38,20,27,18,11,16,92,1B
GBR,6643,W Goodacre,,Felixstowe,26,51,11,29,14,15,95,19
GBR,5964,R Willows,,Grafham Water,3,16,26,32,23,108R,100,20
GBR,6*,K Black,,Stokes Bay,11,118R,20,23,30,18,102,21
GBR,6432,W Mills,,Hastings,43,45,15,17,13,22,110,22
GBR,6504,J Edwards,,Grafham Water,15,11,116R,28,19,39,112,23
GBR,6000,R Abraham,,Hastings,21,36,30,9,52,24,120,24
GBR,6175,J Donnelly,,Stokes Bay,30,35,21,39,24,20,130,25
GBR,6124,L Brooks,,Hastings,34,19,14,117R,26,40,133,26
GBR,6505,Michael Lawton,,Felixstowe,29,18,29,19,41,43,136,27
GBR,6362,J Parker,,Queen Mary,24,29,39,25,28,30,136,28
