Pos,Sail,Skipper,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total Points,Pos
USA,7200,Ali Meller,,SSA,1,1,1,5/DNF,1,9.00,1
USA,8422,Bryan Richardson,,SSA,3,5/DNF,3,1,3,15.00,2
USA,8814,Erika Seamon,,,5/DNF,5/DNF,2,2,2,16.00,3
USA,8790,Jay Bergquist,,SSA,2,5/DNS,5/DNC,5/DNC,5/DNC,22.00,4
