Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points Netto,Place
USA,9007,Tyler Moore,Jesse Falsone,,[6],2,1,1,2,1,2,2,11,1
USA,7346,Craig Thompson,JB Turney,,1,[7],5,3,4,2,6,5,26,2
USA,8722,Macy Nelson,Chris Brady,,[8],4,7,4,5,4,3,7,34,3
USA,8830,Ramsay Key,Andrew Buttner,,[13],6,2,12,1,3,4,8,36,4
USA,8643,Barney Harris,Douglas Amthor,,2,[11],9,5,6,6,9,1,38,5
USA,8631,Parker Shin,Calyton James,,9,[12],3,8,10,5,1,3,39,6
USA,8930,Ted Ferrarone,Douglas McKeigh,,7,1,6,7,8,[16],5,6,40,7
USA,8012,Henry Amthor,Dustin Romey,,3,3,10,2,14,[15],8,9,49,8
USA,8641,Nicholas Burke,Bill Beardsley,,4,5,4,[14],3,11,12,13,52,9
USA,7776,Jim Englert,Brian Huntsman,,10,10,8,11,[15],8,7,10,64,10
USA,8194,Thomas Kivney,Gordon Russell,,14,8,12,6,[16],12,11,4,67,11
USA,8018,Duane Delfosse,Solomon Marini,,11,[14],11,13,7,7,10,12,71,12
USA,8850,Douglas Watson,Gabriel Watson,,5,9,14,[15],12,9,14,11,74,13
USA,8441,Katrin Deinhardt,Olav Schluter,,12,13,15,10,11,10,[DNF],DNS,91,14
USA,8438,Whit Duncan,Jake Spracher,,[19],15,19,9,19,17,13,14,106,15
USA,8660,Nick Nelson,Michael Renda,,15,17,13,[18],18,14,15,15,107,16
USA,8952,Jay Smith,Paul Whitesides,,16,20,16,19,9,13,[DNC],DNC,114,17
USA,8822,David Burchfiel,Josh Gray,,17,18,18,16,13,18,[DNF],DNS,120,18
USA,8951,Christian Rasmussen,Thomas Rasmussen,,[RAF],19,20,17,17,19,16,16,124,19
USA,8190,Tim Sayles,Graham Sayles,,18,16,17,[20],20,20,DNF,DNS,131,20
