Pos,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total Points,Pos
USA,9003,Jesse Falsone,Russell Miller,SSA,3,1,1,2,2,9.00,1
USA,8722,Macy Nelson,Parry Barclay, ,2,3,2,3,1,11.00,2
USA,8850,Doug Watson,Gabe Watson,WRSC,1,5,4,4,3,17.00,3
USA,7200,Erika Seamon,Ali Meller,SSA,4,4,5,1,4,18.00,4
USA,7199,Stergios Papadakis,Dan Bowman,SSA,5,2,3,8/DNC,8/DNC,26.00,5
USA,8722 Y/7148,John Bergquist,Bryan Richardson,SSA,7,6,6,5,8/DNF,32.00,6
USA,8822,Bob Patterson,Angela Montgomery,SSA,6,7,8/DNF,6,8/DNF,35.00,7
