Nation,Boat nO,Helm,Crew,Boat name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat Manufakturer,Points,Place
GBR,2626,Larry Marks,Victor Deschamps,Mu Watsui GoGo,1,2,2,2,2,1,1,Parker,,1
IRL,3118,Harold Cudmore,Chris Bruen/Belisario Perez,Overdrawn,2,5,1,3,3,4,3,,,2
ARG,3070,Héctor Domato,P.Siedmann,Desacuerdo,3,1,5,5,D,2,4,Parker,,3
FRA,3300,Marcel Troupel,Philippe Lanaverre,Rififi IV,4,3,U,1,1,D,2,Lanaverre,,4
USA,3160,J.Norheim,W.Wheaton,Vivant,5,4,6,4,4,9,3,,,5
FRA,2940,Marcel Buffet,René Morch,YaZa VII,6,9,3,11,5,8,7,,,6
USA,3240,C.Angle,D.O'Neil,Usilias V,,,,,,,,,,
ARG,1912,J.C.Garcia,H.Garcia,Humpah Pah,,,,,,,,Glasser,,
ARG,1944,A.Ujvary,,Icaro,,,,,,,,Glasser,,
ARG,2465,F.Navarro,,Caneton,,,,,,,,Glasser,,
ARG,2185,J.Ofermann,B.Ferreyra,Hilo Negro,,,,,,,,Glasser,,
ARG,1917,F.Costa,T.Hoffmann,Ciruja,,,,,,,,Glasser,,
ARG,2896,A.Enguix,R.Giassone,Scarbo IV,,,,,,,,Parker,,
ARG,2955,A.Tonconogy,E.Farre,Superfiaca,,,,,,,,Parker,,
ARG,2413,E.Homps,M.Homps,Olympus II,,,,,,,,Glasser,,
ARG,3053,M.Costa,C.Arrambide,Draco,,,,,,,,Glasser,,
ARG,,F. de Amorrortu,Tejo Tejo,,,,,,,,,,,
ARG,,E. Martinez,Fracanapa,,,,,,,,,,,
