Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,,Place
FRA,8702,Philippe Boite,Jean-Luc Muzellec,,5,11,1,2,3,2,1,,1
GER,87*,Wolfgang Hunger,Holger Jess,,10,1,4,4,1,1,6,,2
GBR,8720,Ian Pinnell,Nick Powell,,2,2,3,3,9,7,3,,3
GBR,8707,Steve Nicholson,John Mildred,,4,5,7,8,10,18,5,,4
GBR,8552,Mark Upton-Brown,Dan Johnson,,6,26,2,5,28,4,2,,5
GER,8623,Stefan Böhm,Gerald Roos,,27,3,9,1,2,29,4,,6
GBR,8342,Mike Holt,Paul Beasley,,8,DNC,18,7,4,10,10,,7
FRA,8564,Laurent Haÿ,Stephane Boudier,,9,32,16,RDG,6,8,9,,8
GER,8517,Michael Rössler,Arnd Howar,,7,9,28,16,8,11,7,,9
GBR,8495,David Peacock,Chris Hewkin,,13,6,13,9,5,13,16,,10
GER,8671,Markus Muehlbauer,Angela Stenger,,1,,,,,3,,,0
FRA,,Alain Boite,Maxime le Goff,,3,,,,7,30,,,0
FRA,8677,Michel Christ,Philippe Claude,,,,20,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
