Nation,Sail,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Pts,Pos
FRA,8702,Boite Philippe,Muzellec Jean Luc,,1,1,1,1,2,1,OCS,OCS,1,1,42,1
FRA,8684,Gallo Pierre Jean,Toupet Fabrice,,7,7,6,10,OCS,3,2,1,3,4,43,2
FRA,8677,Christ Michel,Claude Philippe,,8,4,4,16,1,4,8,3,4,13,49,3
FRA,8564,Hay Laurent,Boudier Stephane,,3,2,5,9,OCS,2,3,2,5,DNC,64,4
FRA,8372,Gilbert Vinches,Viateur Regis,,6,6,10,14,10,12,4,6,11,3,68,5
FRA,8444,Schaedelin Eric,Doerenbecher Ivan,,13,DNF,3,11,4,7,6,10,10,5,69,6
FRA,8188,Soulier Pierre,Phillipe Lenorment,,18,9,20,20,11,5,9,4,9,2,87,7
FRA,8449,Lucienne Philippe,Bonnet Bruno,,11,10,17,3,8,11,7,15,13,9,87,8
FRA,8491,Frédéric Veroul,Veroul Jean Jacques,,12,15,9,6,5,14,11,12,8,12,89,9
FRA,8321,Rimbert Michel,Rimbert Antoine,,4,18,11,5,7,21,10,16,2,17,90,10
FRA,8962,Raguet Jacques,Jean Franco Bertrand,,15,12,13,12,13,13,5,11,7,6,92,11
FRA,8007,Brotschi Yann,Brotschi Xavier,,9,21,2,4,12,15,OCS,7,14,14,98,12
FRA,6580,Boyer Emmanuel,Boyer Etienne,,17,14,15,8,3,9,OCS,20,12,8,106,13
FRA,8509,Muh Pierre,Keraudrenv Dominique,,19,13,16,15,9,20,13,9,6,7,107,14
FRA,8459,Terrasson Jerome,Briffoteaux Charle,,5,5,8,2,6,17,OCS,13,DNS,DNC,122,15
FRA,8521,Chartier Jean Philippe,Guibbal Jean,,10,8,26,21,17,8,12,5,16,OCS,123,16
FRA,8687,Fischer Francois,Delvaux Jerome,,2,3,7,OCS,OCS,6,1,14,DNC,DNC,132,17
FRA,7147,Champeau Alain,Jean Marie Tournier,,20,20,14,13,15,18,19,19,18,11,147,18
FRA,8348,Bochu Jacques,Bochu Christophe,,16,16,18,26,18,19,OCS,17,15,16,161,19
FRA,8352,Noclain Philippe,Noclain Jean Pierr,,14,11,12,7,OCS,16,15,22,DNC,DNC,163,20
FRA,8302,Got Claude,Aggeri Stephane,,OCS,23,24,17,20,23,16,18,20,15,176,21
FRA,8717,Jacob-Antoine Lortat,Chervet Philip,,OCS,17,30,19,16,10,14,8,DNC,DNC,180,22
FRA,8002,Rouanne Dominique,Jean-Pierre Blache,,21,19,22,25,21,24,17,21,21,19,185,23
FRA,8275,Noclain Jean Marc,Chabaud Roger,,23,22,21,23,25,25,23,25,DNS,10,197,24
FRA,8401,Duquesne Philippe,Duquesne Laurent,,22,25,23,24,24,27,22,23,17,18,198,25
FRA,8359,Dalle Frederic,Dalle Laure,,DNC,DNC,25,22,22,26,21,24,19,20,212,26
FRA,6395,Nicolas Follioley,Neff Emilie,,26,DNF,19,18,19,28,20,DNC,DNC,DNC,229,27
FRA,8382,Hue Patrice,Vittecoq Norman,,24,24,29,27,23,22,18,DNC,DNC,DNC,233,28
FRA,8157,Bernard Dugrip,Bories Pierre,,28,26,27,29,26,29,25,26,24,23,234,29
FRA,8062,Brossillon Guillaume,Porcher Lauren,,27,DNF,28,28,14,DNC,DNC,DNC,22,21,239,30
FRA,7831,Sicot Serge,Sicot Xavier,,25,DNF,31,30,27,30,24,27,23,22,239,31
FRA,7375,Dombret Michel,Dombret Edouard,,DNC,DNF,32,31,28,DNC,DNC,DNC,DNC,DNC,289,32
