Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,Pts,Pos
GBR,8835,Charlie Walters,Dougal Cram,Datchet,-4,1,2,2,1,6,1st
GBR,8935,Russell Short,Andrew Short,Rotherham SC,1,    (3),3,1,3,8,2nd
GBR,8905,Stuart Turnbull,Jason Lunn,Burton SC,(6)    ,4,1,3,2,10,3rd
GBR,8780,Jack Hayhurst,Adrian Coates,Carsington SC,2,2,-8,7,4,15,4th
GBR,8906,Harry Briddon,Simon Briddon,Carsington SC,3,5,-7,6,6,20,5th
GBR,8694,Ross Kenney,Adam Kenney,Burton SC,5,(13 DNF),4,4,8,21,6th
