Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,9028,Stefan Köchlin,Lars Dehne,SKF,1,2,2,3,2,,1
GER,8875,Jens Findel,Johannes Tellen,KYC,5,1,6,1,1,,2
GER,8992,Claas Lehmann,Leon Oehme,NRV,2,4,1,4,DNC,,3
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,3,9,3,2,5,,4
GER,8976,Tom Gosch,Rolf Meyer,ENSFV,4,3,5,6,4,,5
GER,8929,Jürgen Waldheim,Thomas Jung,PYC,8,8,9,5,3,,6
GER,8825,Michael Troch,Eckart König,SGJ,11,6,4,7,10,,7
GER,8741,Jürgen Anton,Ulf Denecke,HSC,6,10,11,13,6,,8
GER,8932,Tim Friederici,Matthias Fedde,DSCU,7,13,8,11,8,,9
GER,8619,Steve Kwee,Bruno Laudage,HSC,10,5,10,10,14,,10
GER,8550,Martha Hauschild,Michael Heyder,SCS,9,12,7,15,7,,11
GER,8972,Ronald Roos,Morten Roos,SVWu,12,7,13,8,11,,12
GER,8657,Georg Neulen,Peter Gerdts,WYCA,13,11,12,9,9,,13
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,16,15,15,12,12,,14
GER,8730,Iris Anton,Birgit Hartmann,HSC,14,14,14,14,13,,15
GER,7861,Katharina Menge,Henning Ries,OSG,17,19,16,16,16,,16
GER,6169,Jens Kühne,Doreen Jäschke,OSG,19,17,17,17,17,,17
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,18,18,18,18,15,,18
GER,8049,Matthias Tellen,Moritz Lüther,RSC,15,16,DNC,DNC,DNC,,19
