Nation,Sail #,Skipper,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,R9,Gross,Drop,Net,Pos
CAN,7094,Phil Cragg ,David Cross,,3,1,1,3,1,1,7,4,1,22,7,15,1
CAN,7353,Ian Plumbley,Reto Corfu,,1,3,4,4,2,3,2,5,5,29,5,24,2
CAN,8192,John Hayley,Winston Cummins,,4,DNF,2,2,3,7,3,2,2,36,11,25,3
CAN,8411,Cynthia Des Brisay,Paul Von Grey,,6,2,5,DNF,DNC,2,1,1,3,42,11,31,4
CAN,7095,Bailey White,Rob Woelfel,,8,4,3,1,4,9,6,3,4,42,9,33,5
USA,8262,John Henderson,Ben Braden,,2,5,7,5,6,4,5,8,6,48,8,40,6
CAN,7610,Fleckenstein/Black,Charles Hansen,,5,6,6,7,7,6,4,6,8,55,8,47,7
CAN,8647,Gatehouse,Burnard,,7,DNF,DNC,6,5,5,8,7,7,67,11,56,8
CAN,8068,Trainor,St.John,,DNF,7,DNF,DNF,DNC,10,9,9,DNF,90,11,79,9
CAN,7959,Allan,Beckler,,DNC,DNC,DNC,DNC,DNC,8,DNF,DNF,DNC,96,11,85,10
