Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Place
CAN,8264,Boyd,ten Hove,,1,3,1,2,2,1,1,1,2,11,1
CAN,8260,MossLovshin,Lovshin,,4,4,13,3,1,4,2,3,4,25,2
USA,8627,Tim Collins,Mills,,5,1,4,1,4,5,7,5,7,32,3
USA,8722,Nelson,Falsone,,3,2,11,4,3,3,6,2,9,32,4
CAN,8238,Bertrand,Molimard,,2,6,5,5,6,13,13,4,1,42,5
USA,8698,Chris Fowler,Andrew Fowler,,8,5,7,8,5,2,4,7,5,43,6
CAN,8013,Hamilton,Kitney,,7,8,3,12,7,7,9,6,10,57,7
USA,8012,Amthor,Battner,,6,11,8,7,8,8,14,11,6,65,8
CAN,6910,Bryant,Hughes,,9,10,6,15,15,9,3,9,12,73,9
USA,7068,Ted Ferraone,J.B. Ferraone,,dns,dns,12,11,9,6,5,10,8,78,10
CAN,7796,Ashby,Adams,,12,7,9,6,12,10,16,14,11,81,11
CAN,8194,Thomas Kivney,Hurwitch,,10,13,2,9,13,11,12,13,15,83,12
USA,8624,Alexander,Stetson,,11,9,16,13,10,12,11,8,14,88,13
CAN,7605,Renka Gesing,Adam Gesing,,14,14,10,14,11,15,8,15,3,89,14
USA,7836,DeConto,Marini,,13,12,14,10,16,14,10,12,13,98,15
USA,8778,Dietz,Hurwitz,,15,15,15,16,14,16,15,dns,dns,123,16
