Nation,Boat NO,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Netto,Place
CAN,8264,Boyd Jeff,Martin Tenhove,Kingston Yacht Club,1,1,1,1,6,2,4,16,10,1
CAN,8698,Fowler Chris,Andrew Fowler,Kingston YC / RCYC,3,3,2,3,7,11,1,30,19,2
CAN,8263,Mclaughlin Frank,Adam Schell,RCYC,4,9,5,4,2,1,5,30,21,3
USA,8012,Amthor Henry,Douglas Amthor,Hampton Yacht Club,2,2,3,5,1,9,10,32,22,4
CAN,8260,Moss Lovshin Shona,Stephen Lovshin,Nepean Sailing Club,6,4,4,2,4,8,7,35,27,5
CAN,7092,Romey Dustin,John Tihansky,Severn Sailing Association,8,7,6,8,3,3,2,37,29,6
CAN,8410,Bush Clarissa,Gillies Chris,BRITTANIA YACHT CLUB,5,5,8,9,5,6,8,46,37,7
USA,7685,Alexander Graham,Richmond Brian,HOOVER YACHT CLUB,10,8,11,11,8,5,6,59,48,8
USA,8013,Hamilton Brook,Justin Kitney,RCYC,11,6,7,6,14,10,9,63,49,9
CAN,7346,Hauser John,Coe Mike,SEVERN SAILING ASSOCIATION,7,14,14,10,10,7,3,65,51,10
CAN,8767,Bertrand Francois-Xavier,Molimard Alain,CLUB NAUTIQUE DEUX-MONTA,9,13,10,7,9,14,RAF,78,62,11
BER,7836,Decouts Douglas,Alex Mevay,MITNA,13,10,13,14,11,4,12,77,63,12
USA,8624,Stetson David,Yates Steven,HOOVER YACHT CLUB,14,12,9,13,13,13,11,85,71,13
CAN,7796,Ashby Deborah,Adams David,BRITANIA YC,12,11,12,12,15,12,14,88,73,14
USA,7793,Seiple Dave,Geoff Schaefer,USA OH Hilliard,15,DNF,DNF,15,12,15,13,102,86,15
