Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Pts,Pos
CAN,8263,Alexander Meller,Angela Stenger,Severn Sailing Association,,,,,,,,7,1st
USA,7092,Jahn Tihansky,Dustin Romey,Severn Sailing Association,,,,,,,,12,2nd
USA,8643,Barney Harris,George Saunders,West River Sailing Club,,,,,,,,15,3rd
BER,7093,Chuck Millican,Jim Campbell,Hamilton Amateur Dinghy Club,,,,,,,,23,4th
USA,7346,John Hauser,Carola Cooper,Severn Sailing Association,,,,,,,,24,5th
