Pos,Sail,Skipper,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total Points,Pos
USA,7359,Catherine Guiader,,SSA,2,3,3,3,4,2,2,19.00,1
USA,9003,Jesse Falsone,, ,8/DNS,8/DNS,8/DNS,1,1,1,1,28.00,2
USA,8244,Love/Harrell,, ,8/DNS,8/DNS,8/DNS,2,2,3,3,34.00,3
USA,7200,Erika Seamon,,SSA,1,1,1,8/DNS,8/DNC,8/DNC,8/DNC,35.00,4
USA,8830,Michael Renda,,PRSA,3,2,2,8/DNS,8/DNC,8/DNC,8/DNC,39.00,5
USA,8830 a,Bryan Richardson,,SSA,4,4,4,4,8/DNF,8/DNC,8/DNC,40.00,6
USA,7068,John Bergquist,, ,8/DNS,8/DNS,8/DNS,8/DNS,3,4,8/DNC,47.00,7
