Pos,Sail,Skipper,,Club,1,Total Points,Pos
USA,7200,Erika Seamon,,SSA,1,1.00,1
USA,7359,Catherine Guiader,,SSA,2,2.00,2
USA,814*,Stergios Papadakis,,SSA,3,3.00,3
USA,8830,Brian Richardson,,SSA,5/DNF,5.00,4
