Pos,Sail,Skipper,,,Race 1,Race 2,Total Points,Pos
USA,814*,Stergios Papdakis,,,6/DNC,1,7.00,1
USA,7200,Alexander Meller,,,6/RAF,6/DNF,12.00T,2T
USA,7359,Catherine Guiader,,,6/DNF,6/RAF,12.00T,2T
USA,8766,Erika Seamon,,,6/DNC,6/DNF,12.00T,2T
USA,8911,Dan Bowman,,,6/DNF,6/DNF,12.00T,2T
