Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
USA,9002,Mike Holt,Carl Smit,,1,1,1,2,2,3,,10,,1
USA,8762,Howard Hamlin,Andrew Zinn,,2,2,2,,,,,,,
USA,,Jeff Miller,Pat Diola,,3,3,3,1,3,2,,15,,
USA,,Ted,Steve Kleha,,4,4,4,,,,,,,
USA,8084,Aaron Ross,Rob Waterman,,5,5,5,,,,,,,
USA,,Tim,Garth,,6,7,6,,,,,,,
USA,,Geoff,Reeve,,,6,,,,,,,,
USA,,,,,,,,,,,,,,
USA,,,,,,,,,,,,,,
