Nation,,Skipper,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Sail
USA,8799,Angus Brackett,,SYC,1,2,2,1,7*,2,1,9,1
USA,8823,Mats Elf,,CYC Seattle,2,1,1,2,3,1,7*,10,2
USA,8616,Lee Laney,,,3,6*,5,4,2,3,5,22,3
CAN,7610,Cynthia Des Brisay,,Kitsilano Yacht Club,8*,5,6,3,1,6,2,23,4
CAN,8755,Brian Trainor,,Kitsilano Yacht Club,4,3,12*DNF,6,4,5,4,26,5
USA,8868,Eric Coburn,,PTSA,6,4,4,5,5,7*,3,27,6
USA,7153,Blaine Pedlow,,St. Francis YC,5,7,3,9*,8,4,6,33,7
USA,8617,Paul Pihl,,,7,8,7,10*,9,10,8,49,8
,8435,Jeff Sharp,,,9,10,12*DNF,7,6,9,9,50,9
USA,7206,Chris Pittack,,CYC-Seattle,13*DNF,13 DNC,12 DNF,8,10,8,10,61,10
,6935,Stuart Forsyth,,,13*DNF,9,12 DNF,13 DNS,13 DNS,13 DNS,13 DNS,73,11
,86171,Sam Swam,,,13*DNS,13 DNC,13 DNC,13 DNS,13 DNS,13 DNS,13 DNS,78,12
