Country,Sail,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat,Total,Pos
USA,8762,Howard Hamlin,Andy Zinn,NHYC,1,2,2,1,1,1,Grey Boat,8,1
USA,8558,Mark Folkman,Brandon Folkman,KHYC,3,1,3,2,5,2,Thor,16,2
USA,7152,Gary Lee,Dan Downing,MBYC,4,3,1,5,2,5,Team Olde Age,20,3
USA,6991,Channing Hamlet,Sean Aiken,MBYC,5,4,5,4,4,3,USA 6991,25,4
USA,8438,Amie Huebner,Ted Boothe,Mission Bay Yacht Club,2,6,4,3,9/DNS,9/DNS,Yea! Boat!,33,5
USA,8762,Jeff Condon,Peter Fallon,St Francis Yatch Club,9/DNC,9/DNS,9/DNS,9/DNS,3,4,,43,6
USA,7201,John Billings II,John Billings III,Mission Bay Yacht Club,9/DNS,5,9/DNF,9/DNS,9/DNS,9/DNS,Lobster for Dinner,50,7
USA,6984,Antoine Laussu,,PSSA,9/DNC,9/DNS,9/DNS,9/DNS,9/DNS,9/DNS,Animal Cracker,54,8
