Country,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Boat,Total,Nett,Rank
USA,8762,Howard Hamlin,Andrew Zinn,NHYC,1,1,3,1,4,[8],2,3,Blue Boat,23,15,1st
USA,9002,Mike Holt,Carl Smit,SCYC,2,[4],2,2,2,4,1,4,IO Integration,21,17,2nd
USA,9009,Bruce Edwards,Mathias Kennerknecht,SCYC,5,5,5,[7],3,1,3,1,Woo Girl,30,23,3rd
USA,8913,Tyler Moore,Jesse Falsone,Hampton,4,2,1,3,5,5,4,[6],Moore Trouble,30,24,4th
USA,8878,Edward Conrads,Brian Haines,St. Francis,3,3,4,4,[6],3,5,5,IBIGIWCUHI,33,27,5th
USA,8192,Philip Cragg,Reto Corfu,Royal Vancover Yacht Club,6,6,6,6,7,6,7,[10],,54,44,6th
USA,8970,Robert Tennant,Rich Mundell,TISC,8,8,7,14,8,9,8,[20 DNF],,82,62,7th
USA,8081,Nick Adamson,Stephen Bourdow,TISC,[25 DNC],25 DNC,25 DNC,5,1,2,6,2,,91,66,8th
USA,8554,AJ Crane,Reeve Dunne,St. Francis Yacht Club,7,10,10,10,[11],10,10,9,,77,66,9th
USA,8818,Pierre Jeangirard,Paul von Grey,Crowley lake yacht club,11,9,17 DNF,9,10,[20 DNF],12,7,road rash,95,75,10th
USA,7875,Jeff Miller,Anna Alderkamp,SCYC,9,7,8,8,13,[20 DNF],11,20 DNS,Applied Neurotica,96,76,11th
USA,7156,Rob Waterman,Aaron Ross,ABYC/SCYC,[25 DNC],25 DNC,25 DNC,15,9,7,9,8,Money Shot,123,98,12th
USA,6991,Channing Hamlet,Karl Liebat,Mission Bay Yacht Club,13,12,11,12,[20 RAF],20 DNS,13,20 DNF,USA 6991,121,101,13th
USA,8755,Brian Trainor,Evan Jennings,Kitsilano Yacht Club,12,17 DNF,9,13,14,[20 DNS],20 DNF,20 DNS,Banshee,125,105,14th
USA,6984,Antoine Laussu,Jake West,PSSA,15,15,12,18,15,[20 DNF],14,20 DNF,,129,109,15th
USA,6931,Stine Cacavas,Bill McKinney,WSASMB,10,11,14,17,[20 DNF],20 DNS,20 DNF,20 DNS,Fever Pitch,132,112,16th
USA,7069,Christopher O'Leary,Pete Rowland,B.Y.C,14,14,17 DNF,19,[20 DNF],12,20 RAF,20 RAF,Tiburon,136,116,17th
USA,8937,Tim Murphy,Garth Copenhaver,TISC,[25 DNC],25 DNC,25 DNC,11,12,11,20 DNF,20 DNF,Tim Murphy,149,124,18th
USA,8888,Geoffrey Gales,Christian Porraccio,The Brome Lake Boating Club,17 OCS,13,13,[25 DNC],25 DNC,25 DNC,25 DNC,25 DNC,Wingman,168,143,19th
USA,8841,Holt Condon,David Byron,St Francis YC,[25 DNC],25 DNC,25 DNC,16,20 DNF,20 DNS,20 RAF,20 DNS,,171,146,20th
USA,6992,Steve Kleha,Matt Foster,SYC,[25 DNC],25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,,200,175,21st
USA,8823,Mats Elf,Jon Henderson,CYC Seattle,[25 DNC],25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,Good Times,200,175,21st
USA,8786,Hubert Guy,,ABYC,[25 DNC],25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,,200,175,21st
USA,7062,Peter Scott,Christina Scott,StFYC,[25 DNC],25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,25 DNC,Hot Sweetness,200,175,21st
