Sail,Number,Team,,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,T,N,Nr
GER,9198,Michael Daisenberger,Johannes Tellen,DTYC,6,3,5,2,6,2,1,3,[7],35,28,1
GER,9127,Frederik Schaal,Felix Diesch,SMCUE,4,1,2,5,2,8,7,4,[10],43,33,2
GER,9256,Jens Biederer,Jan Reifferscheidt,KYC,1,5,1,8,1,[11],5,7,6,45,34,3
GER,9197,Nicola Birkner,Angela Stenger,VSAW,3,7,4,1,3,4,4,8,[13],47,34,4
GER,9185,Stefan Böhm,Gerald Roos,SCV,7,11,3,[15],4,6,9,1,3,59,44,5
GER,9231,Stefan Giesler,Frank Böhm,VSAW,2,[14],11,11,5,5,2,6,4,60,46,6
GER,9169,Tim Böger,Finn Böger,HSC,10,9,10,12,[18],1,3,2,1,66,48,7
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,[18],6,6,9,8,7,6,9,2,71,53,8
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,12,8,[28]DSQ,3,10,12,8,5,17,103,75,9
GER,9130,Alexander Swade,Patrick Treichel,DYC,9,12,8,4,7,13,13,15,[19],100,81,10
GER,9131,Jörn Wille,Martin Bergmann,MSC,5,2,15,[18],13,14,11,12,11,101,83,11
GER,9090,Carsten Kemmling,Martin Schöler,NRV,15,4,7,16,[28]RET,3,15,19,5,112,84,12
GER,9066,Peter Gerdts,Christian Labenz,SVWU,11,17,[21],7,20,9,12,10,9,116,95,13
GER,9234,Nørbert Dasenbrook,Sven Meier,KSW,[19],13,12,10,15,15,14,11,8,117,98,14
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,14,10,9,6,9,[20],18,16,20,122,102,15
BEL,8613,Kim Van Assche,Toon Van Assche,LZF,8,15,16,14,16,10,[17],14,16,126,109,16
GER,9159,Bernd Rasenack,Rolf Meyer,ZSK,17,[20],14,17,17,16,10,13,12,136,116,17
GER,8806,Anna Hauschild,Arne Wittemer,SCS,16,19,17,13,11,19,[20],17,18,150,130,18
BEL,9163,Pierre Gorremans,Jean-Emmanuel Gorremans,NLM,13,16,13,21,[22],21,16,18,14,154,132,19
GER,8370,Arend Brugmans,Stephan Graff,ZSK,21,18,18,19,12,18,21,21,[28]DNF,176,148,20
GER,8932,Christian Henge,Katja Henge,WEISE,20,21,20,20,21,22,[28]DNS,20,21,193,165,21
GBR,8774,Nicolai Völckner,Andreas Schmidt,SLRV,24,23,23,24,14,17,[28]DNF,28DSQ,15,196,168,22
GER,9123,Martin Bernauer,Enno Wilts,SGJ,22,22,19,22,19,[24],22,23,23,196,172,23
GER,8592,Jan De Vries,Harmannus Bruhns,WSV LUJ,[26],25,24,26,23,23,19,22,22,210,184,24
GER,9102,Andre Tirre,Frank Wille,ZSK,23,24,22,23,[28]DNS,28DNF,28DNC,28DNS,28DNS,232,204,25
GER,7035,Michael Köritz,Christina Burger,ZSK,[28]DNF,26,25,25,28DNS,28DNC,28DNC,28DNC,28DNC,244,216,26
GER,9195,Dirk Penno,Gerd Dittmer,DTYC,25,[28]DNC,28DNC,28DNC,28DNC,28DNC,28DNC,28DNC,28DNC,249,221,27
