Sail,Number,Team,,Club,R1,R2,R3,R4,R5,T,N,Nr
GER,9169,Alexander Holzapfel,Finn Boeger,PSVK,1,[2],1,1,1,6,4,1
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,2,1,[5],3,2,13,8,2
GER,9101,Timon Treichel,Morten Roos,DYC,[4],3,3,2,4,16,12,3
GER,9189,Hendrik Schultz,Martin Lietz,SCLW,[5],4,2,4,3,18,13,4
GER,9251,Alexander Swade,Patrick Treichel,DYC,3,5,4,5,[11]DNF,28,17,5
GER,8806,Anna Hauschild,Jacob Niewiarra,SCS,6,6,[7],6,6,31,24,6
GER,9021,Hendrik Schürkötter,Robert Feller,SCFL,7,7,[8],8,5,35,27,7
GER,9123,Enno Wilts,Martin Bernauer,SGJ,[8],8,6,7,7,36,28,8
GER,8418,Felix Weißensteiner,Tobias Borchert,SCHA,[11]DNC,11DNC,9,11DNF,11DNF,53,42,9
GER,7528,Nadine Dresp,Ingolf Dresp,SCMB,[11]DNC,11DNC,11DNF,11DNF,11DNC,55,44,10
