Sail,Number,Team,,Club,R1,R2,R3,R4,T,N,Nr
GER,8992,Lutz Stengel,Anja Stengel,ROYC,1,1,1,[2],5,3,1
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,[9],5,3,1,18,9,2
GER,9256,Jens Biederer,Thomas Wasilewski,KYC,2,[8],2,7,19,11,3
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,[7],4,4,3,18,11,4
GER,8928,Andreas Porth,Martin Lietz,FSV03E.V.,5,2,5,[6],18,12,5
DEN,9025,Christian Seilman,Henrik Thomasen,Middelfart Sejlklub,4,[7],7,4,22,15,6
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBTF,3,9,[10],5,27,17,7
GER,9080,Steve Kwee,Johannes Kindermann,HSC,[11],3,8,9,31,20,8
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,[8],6,6,8,28,20,9
GER,9130,Mirco Gantenberg,Jacob Niewiarra,SC HATTINGEN,6,11,[13],11,41,28,10
GER,9123,Enno Wilts,Martin Bernauer,SGJ,[13],10,9,12,44,31,11
GER,8458,Olaf Oberländer,Mathias Jäkel,ASVZR,10,[12],11,10,43,31,12
GER,7848,Axel Dierich,Felix Dierich,MYCVD,[15],15,12,13,55,40,13
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,12,[14],14,14,54,40,14
GER,8428,Christian Lempp,Marius Wolff,SCH,14,13,[17 DNC],17 DNS,61,44,15
GER,9169,Tobias Borchert,Friederike Höppner,,[17 DNC],17 DNC,17 DNC,15,66,49,16
