Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,9161,"Walter Steding","Hans-Werner Steding",HSC,1,1,1,4,0,0,0,7,,1
GER,9230,"Martin Kittsteiner","Oliver Stieglitz",HSC,3,6,4,1,0,0,0,14,,2
GER,9144,"Anna Lienau","Ulf Denecke",,4,2,2,7,0,0,0,15,,3
GER,9131,"Jörn Wille","Martin Bergmann",MSC,2,4,10,3,0,0,0,19,,4
GER,8964,"Iris Anton","Michael Heyder",HSC,9,3,5,2,0,0,0,19,,5
GER,9030,"Andreas Jungclaus","Max Rauner",HSC,5,5,7,5,0,0,0,22,,6
GER,9040,"Harald König","Katja Frühwald-König",SRVL-S,6,7,11,8,0,0,0,32,,7
GER,8903,"Steve Kwee","Alena-Larissa Wilkens",HSC,7,9,6,9,0,0,0,31,,8
GER,8686,"Markus Hintz","John Christiansen",HSC,8,8,8,6,0,0,0,30,,9
GER,9130,"Antonia Zellner","Erik Techen",,10,10,3,10,0,0,0,33,,10
GER,8433,"Patrick Ziegelmüller","Denis Rumohr",,11,11,9,11,0,0,0,42,,11
