Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8992,Lutz Stengel,Frank Feller,ROYC,1,1,1,1,4,,1
GER,9198,Michael Daisenberger,Johannes Tellen,DTYC,4,5,2,2,13,,2
GER,8928,Andreas Porth,Martin Lietz,,2,2,8,5,17,,3
GER,9169,Tim Böger,Finn Böger,HSC,5,3,3,6,17,,4
GER,9197,Nicola Birkner,Angela Stenger,SVaW,3,4,6,4,17,,5
GER,9256,Jens Biederer,Hannes Kindermann,HSC,6,7,4,3,20,,6
GER,8806,Anna Hauschild,Anja Stengel,SCS,7,6,7,7,27,,7
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,10,9,5,8,32,,8
GER,9123,Enno Wilts,Martin Bernauer,SVBB,8,8,10,9,35,,9
GER,7848,Axel Dierich,Tobias Borchert,,9,10,9,10,38,,10
