Sail,Number,Team,,Club,R1,R2,R3,R4,T,N,Nr
GER,8992,Lutz Stengel,Frank Feller,ROYC,[1],1,1,1,4,3,1
GER,9198,Michael Daisenberger,Johannes Tellen,DTYC,4,[5],2,2,13,8,2
GER,8928,Andreas Porth,Martin Lietz,FSV 03 eV,2,2,[8],5,17,9,3
GER,9169,Tim Böger,Finn Böger,HSC,5,3,3,[6],17,11,4
GER,9197,Nicola Birkner,Angela Stenger,VSAW,3,4,[6],4,17,11,5
GER,9256,Jens Biederer,Johannes Kindermann,HSC,6,[7],4,3,20,13,6
GER,8806,Anna Hauschild,Anja Stengel,SCS,[7],6,7,7,27,20,7
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,[10],9,5,8,32,22,8
GER,9123,Enno Wilts,Martin Bernauer,SGJ,8,8,[10],9,35,25,9
GER,7848,Axel Dierich,Tobias Borchert,MYCVD,9,[10],9,10,38,28,10
