Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,9149,"Bernd Rasenack","Rolf Meyer",ZSK,2,3,1,12,1,19,,1
GER,8849,"Henrik Schade","Sebastian Wiemer",WVW,1,1,3,3,3,11,,2
GER,9152,"Anika Wollenbecker","Raik Wollenbecker",YCBG,3,2,2,11,8,26,,3
GER,8370,"Arend Brugmans","Felix Graff",,4,4,9,7,4,28,,4
GER,9234,"Norbert Dasenbrook","Sven Meier",KSW,9,10,5,1,6,31,,5
GER,9230,"Martin Kittsteiner","Oliver Stieglitz",HSC,"DNC 14",6,7,6,2,35,,6
GER,9066,"Peter Gerdts","Christian Labenz",HSC,5,7,6,5,5,28,,7
BEL,8613,"Kim Van Assche","Bas Van Assche",,10,5,10,2,10,37,,8
GER,9000,"Julia Pösch","Thorsten Pösch",SCSZ,7,8,8,4,9,36,,9
GER,8928,"Anna Lienau","Martin Lietz",,11,"DNC 14",4,8,7,44,,10
GER,8934,"Frank Beier","Hubertus Ritter",SCLM,6,9,11,9,12,47,,11
GER,8901,"Andre Tirre","Frank Wille",YCS,8,11,13,10,13,55,,12
BEL,8844,"Frank Boonen","Ronald Vanthoor",,"DNC 14",12,12,"DNC 14",11,63,,13
