Sail,Number,Team,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,T,N,Nr
GER,9199,Micki Daisenberger,Johannes Tellen,DTYC,1,1,1,[3],2,8,5,1
GER,9260,Tim Böger,Finn Böger,HSC,2,3,2,[4],1,12,8,2
GER,9070,Christian Kellner,Andreas Achterberg,HSC,3,[4],4,1,4,16,12,3
GER,9122,Benedikt Northoff,Kilian Northoff,BYC,4,[5],3,2,5,19,14,4
GER,9189,Hendrik Schultz,Thorsten Koch,SCLW,[6],2,5,6,3,22,16,5
GER,9114,Mats Westholm,Axel Dierich,SCLW,5,6,8,7,[10],36,26,6
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,8,7,[10],5,7,37,27,7
GER,9123,Martin Bernauer,Elisabeth Bernauer,SGJ,10,[14]DNF,6,8,6,44,30,8
GER,9100,Nathalie Zeiler,Claudius Zeiler,SCLW,7,[14]UFD,7,9,8,45,31,9
GER,8672,Dirk Hütten,Guido Von Walter,SGR,9,8,[11],11,9,48,37,10
GER,8579,Peter Wackerbauer,Christian Stadler,RSB,[11],9,9,10,11,50,39,11
GER,9046,Andreas Seiffert,Michael Probst,SCLA,[13],10,12,13,12,60,47,12
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,12,11,[13],12,13,61,48,13
