Sail,Number,Team,,Club,R1,R2,R3,T,N,Nr
GER,8992,Lutz Stengel,Frank Feller,ROYC,1,1,1,3,3,1
GER,9066,Peter Gerdts,Christian Labenz,SVWU,2,2,4,8,8,2
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBTF,4,3,2,9,9,3
GER,8458,Olaf Oberländer,Mathias Jäkel,ASVZR,3,4,3,10,10,4
GER,9141,Robert Bautz,Paul Andreas Wedeleit,ASVZR,6,5,9 DNS,20,20,5
GER,9123,Martin Bernauer,Enno Wilts,CKA,5,9 DNF,9 DNC,23,23,6
GER,8928,Anna Lienau,Martin Lietz,FSV03E.V.,9 DNF,9 DNF,9 DNC,27,27,7
GER,8932,Christian Henge,Katja Henge,WEISE,9 DNC,9 DNC,9 DNC,27,27,7
