nation,boat no,Helm,Crew,club,race 1,race 2,Points,place
ITA,8882,Bosio Giovanbattista,Loce Roberto,CIRCOLO VELICO VENTIMIGLIESE,1,2,3,1
ITA,8916,Ciferri Enrico,Natali Gabriele,US QUARTO,3,1,4,2
GER,8901,Sollner Sophie,Wolfgang Stuckl,CYC – CTYC,2,3,5,3
FIN,8632,Thomas Laurita,Vari Hamstrom,KNOPS,4,5,9,4
FIN,8768,Jukka Neiminen,Kari Lehtonen,SP,6,4,10,5
ITA,8743,Giraldi Marco,Corbellini Paolo,UV MACCAGNO,5,6,11,6
GER,8990,Frieder Achterberg,Arne Lanatowitz,DTYC,7,7,14,7
ITA,8944,Manzi Luca,Annese Alfredo,YC ITALIANO,8,8,16,8
GER,8666,Michael Lurzeia,Julius Iacoby,BYC,9,9,18,9
