Nation,Sailno,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Scores,No
GER,8875,Findel Jens,Tellen Johannes,,3,3,1,1,1,1,-8,1,11,1
GER,8957,Dr. Hunger Wolfgang,Kleiner Julien,,-11,1,3,6,5,9,2,5,31,2
GER,8958,Koechlin Stefan,Achterberg Andreas,,(ocs),5,5,4,2,10,1,7,34,3
GBR,9012,Pinnel Ian,Gibbon Garl,,12,-21,6,2,8,2,4,9,43,4
GER,8651,Kellner Christian,Schoeler Martin,,5,10,-22,13,3,7,5,2,45,5
DEN,8962,Bojsen-Moller Jorgen,Bojsen-Moller Jacob,,4,-25,4,12,7,12,3,3,45,6
FRA,8908,Loyal Bertrand,Detappe Xavier,,6,4,11,3,4,11,7,(dnf),46,7
GBR,9006,Scutcher Terry,Diebitsch Christian,,9,6,9,11,6,4,-12,8,53,8
GER,8901,Soellner Sophie,Stueckl Wolfgang,,-20,2,8,7,14,13,11,10,65,9
GER,8992,Lehmann Claas,Oehme Leon,,7,7,15,10,-39,6,9,11,65,10
DEN,8964,Saugmann Jan,Andreasen Lasse,,14,14,2,(ocs),13,3,16,4,66,11
IRL,8961,Barry Ewen,Dwyer Charles,,10,-31,10,5,15,5,17,12,74,12
GER,8927,Rix Hans-Heinrich,Achenbach Steffen,,13,13,13,9,11,8,10,-24,77,13
GER,8947,Niediek Volker,Heising Stefan,,2,-26,12,16,16,18,6,15,85,14
SUI,8954,Stauffer Florian,Jacot Philippe,,1,-45,17,15,9,14,14,18,88,15
SUI,8569,Betschen René,Lionel Hollinger,,16,11,-30,14,18,26,13,6,104,16
FIN,8632,Hamstram Jari,Laurila Tuomas,,24,9,-37,17,17,27,15,13,122,17
GER,9020,Tim Boeger,Markus Schoener,,8,12,18,24,21,-29,20,20,123,18
GER,8990,Achterberg Frieder,Lanatowitz Arne,,17,-29,20,20,10,22,19,16,124,19
GBR,8963,Hodgson Martin,Miles Adrian,,15,-34,26,18,12,28,21,17,137,20
DEN,8440,Christiansen Mikkel,Christiansen Mads,,-26,18,19,21,22,16,22,21,139,21
GER,8843,Volckner Nicolai,Dehne Hamburg,,(dnf),35,16,23,20,15,18,14,141,22
GER,8903,Stephan Schweiger,Koch Thorsten,,21,16,21,(dnf),25,17,23,27,150,23
ITA,8916,Ciferri Enrico,Natali Gabriele,,-42,8,41,22,19,23,28,23,164,24
GER,8609,Holzapfel Alexander,Worm Stefan,,25,17,25,27,23,-36,25,28,170,25
GER,8874,Dasenbrook Norbert,Meier (Skbue) Sven,,18,23,-34,26,31,25,24,26,173,26
GER,8665,Schlonka Jens-Peter,Urs Wihlfahrt,,22,19,-36,30,29,32,27,19,178,27
GER,9011,Daisenberger Michael,Mertens Alexander,,(dnf),20,7,8,24,21,dnf,dnf,182,28
GER,8672,Contag Karsten,Von Walter Guido,,30,28,24,34,(dnf),20,34,29,199,29
GER,8519,Wisolek Robert,Berggren Johannes,,29,22,23,32,36,31,26,(ocs),199,30
GER,8744,Kandzia Lutz,Deutscher Martin,,19,30,31,37,27,(dnf),31,25,200,31
SUI,8613,Gilles Petermann,Laurent Grob,,23,15,32,25,(dnf),34,37,37,203,32
FRA,8187,Gabriel Leduc,Cyril Thibaud,,32,24,27,43,38,19,29,(dnf),212,33
GBR,8955,Lake Simon,Alex Barry,,41,43,-48,28,30,30,32,22,226,34
ITA,8743,Giraldi Marco,Pearson Pip,,36,27,28,33,42,-45,30,34,230,35
GBR,8905,Turnbull Stuart,Lunn Jason,,(dnf),dnf,14,19,dnf,24,46,30,235,36
GER,8513,Dömges Sven,Happich Andreas,,-37,36,33,31,32,37,36,31,236,37
GER,8693,Lautenschläger Florian,Schulte Benedikt,,39,41,35,46,26,(dnf),33,32,252,38
GER,8751,Birkner Nicola,Stenger Angela,,(dnf),dnf,42,29,33,38,35,33,261,39
POL,8130,Grabowski Jarek,Olko Michal,,(dnf),40,45,36,34,35,39,36,265,40
FRA,9010,Carvallo Gilles,Chauleau Jean-Yves,,-43,38,38,40,35,39,42,35,267,41
GER,8473,Kraft Olivier,Heimburger Frank,,27,46,40,38,(dnf),40,41,39,271,42
GER,8777,Greger Thoralf,Sanguino-Petersen Frisco,,28,42,39,(dnf),28,33,dnf,dnf,272,43
BEL,8880,De Pauw Geert,Jourquin Koen,,35,32,29,35,40,(dnf),dnf,dnf,273,44
GBR,8907,Berry Jim,Barnes David,,33,39,43,39,37,42,-44,40,273,45
SUI,8727,Nydegger Lorenz,Nydegger Martin,,31,33,44,45,43,44,38,(dnf),278,46
GER,8658,Hoell Tina,Wilhelm Alexander,,34,37,46,42,(dnf),43,43,38,283,47
FRA,8773,Markt Philippe,Conversy Gaël,,40,44,47,(dnf),41,41,40,dnf,304,48
GBR,8745,Mcgale Patrick,Von Gray Paul,,38,47,(dnf),44,44,dnf,45,41,310,49
GER,8666,Kurzeja Michael,Jacoby Julius,,(dns),48,49,41,dnf,dnf,47,dnf,338,50
