Sail,no.,Skipper,Crew,,,Place
GER,8862,Böhm Stefan,Roos Gerald,,,1
DEN,8620,Saugmann Jan,Ramsbæk Morten,,,2
GBR,8882,Pinnell Ian,Gibbon Carl,,,3
GER,8875,Findel Jens,Tellen Johannes,,,4
FRA,8771,Boite Phhilippe,Toupet Fabrice,,,5
GBR,8881,Scutcher Terry,Diebitsch Christian,,,6
GER,8927,Goerge Martin,Rix Heini,,,7
GER,8580,Seeger Micael,Achterberg Andreas,,,8
GER,8693,Daisenberger Micael,Lautenschlager Florian,,,9
GER,8880,Kellner Christian,Rothe Robert,,,10
GER,8466,Nieder Volker,Heising Stephan,,,11
GER,8932,Filimonow Dirk,Stockmann Jars,,,12
SUI,8729,Stauffer Florian,Jacot Philipp,,,13
GER,8843,Voelckner Nici,Dehne Lars,,,14
SUI,8543,Bart Cedric,Marti Ueli,,,15
DEN,8828,Andersen Jon,Andreasen Lasse,,,16
DEN,8849,Larsen Per,Andersen Henrik,,,17
GER,8874,Dasenbrook Norbert,Meier (Skbue) Sven,,,18
DEN,8826,Bojland Tom,Andersen Uffe,,,19
GBR,8887,Williams Richard,Davies John,,,20
GER,8777,Schollmayer Stephan,Sanguino Frisco,,,21
GBR,8905,Turnbull Stuart,Lunn Jason,,,22
GBR,8745,Pearson Chris,Von Grey Paul,,,23
GBR,8906,Briddon Harry,Briddon Simon,,,24
GER,8609,Holzapfel Alexander,Worm Stephan,,,25
GBR,8885,Iliffe Ben,Lake Simon,,,26
GER,8642,Greger Thoralf,Klein Christoph,,,27
GER,8751,Weigelt Frank,Stenger Angela,,,28
GER,8621,Schweiger Stephan,Koch Thorsten,,,29
GBR,8474,Thorne Chris,Priddle Mike,,,30
ITA,8743,Giraldi Marco,Corbellini Paolo,,,31
ITA,8127,Gambardella Marco,Candela Roberto,,,32
DEN,8656,Buhl Henrik,S. Andersen Morten,,,33
GER,8519,Wisolek Robert,Farmer Dave,,,34
GER,8463,Achterberg Frieder,Lanatowitz Arne,,,35
GER,8579,Rentelman Hans Jurgen,Warckerbauer Peter,,,36
SUI,8079,Nydegger Lorenz,Nydegger Martin,,,37
GER,8672,Contag Carsten,Von Walter Guido,,,38
GER,8744,Kandzia Lutz,Deutscher Martin,,,39
GER,7661,Hoell Tina,Wilhelm Alexander,,,40
POL,8622,Korneszczuk Michal,Krempec Krysztof,,,41
GER,8654,Jaegersberg Nicolas,Hiltsher Wolgang,,,42
GBR,8907,Berry Jim,Barnes David,,,43
FRA,8402,Bleuez Loic,Roucayrol Frederic,,,44
GBR,8435,Mcgale Patrick,Cull Alex,,,45
FRA,8820,Lehmann Robert,Edel Bernard,,,46
GER,8697,Stuis Wilfried W.,Lasnier Benjamin,,,47
