NATION,Sail No,Helm,Crew,,Race 1,Place,Points
USA,8714,Howard Hamlin,Mike Martin,,1,1,1
SWE,8655,Krister Bergström,Thomas Moss,,2,2,2
AUS,8782,Andrew Hewson,Frank Karlovecz,,3,3,3
USA,8554,Douglas Hagan,Stuart Park,,4,4,4
AUS,8644,David Porter,Peter Holden,,5,5,5
USA,8631,Ryan Cox,Carl Smit,,6,6,6
USA,8762,Daniel Thompson,Andrew Zinn,,7,7,7
GER,8670,Dietrich Scheder-Bieschin,Rainer Goerge,,8,8,8
GBR,8773,Simon Payne,Bill Mastermann,,9,9,9
FRA,8702,Philippe Boite,Fabrice Toupet,,10,10,10
USA,7771,Andy Beeckman,Bem Benjamin,,11,11,11
GBR,8774,Ian Pinnell,Tim Hancock,,12,12,12
RSA,8340,Graeme Willcox,Alan Haylett,,13,13,13
FRA,8677,Serge Gubri,Thibault Di Péde,,14,14,14
SWE,8551,Anders Nordstrom,Johan Arvedson,,15,15,15
AUS,8280,Michael Quirk,Kane Sinclair,,16,16,16
DEN,8622,Tom Bojland,Jakob Karbo,,17,17,17
AUS,8589,Sandra Barber,Mark Barber,,18,18,18
AUS,8780,Brett Van Munster,Geoff Lange,,19,19,19
GBR,8701,Rob Napier,Jonathan Rennie,,20,20,20
BEL,8553,Paul Gorremans,Pierre-Jean Gallo,,21,21,21
USA,7069,John Meade,David Byron,,22,22,22
RSA,8537,Robert Crisp,Brett Von Budenbrock,,23,23,23
GBR,8705,Ian Dunn,Simon Lake,,24,24,24
GBR,8685,Michael Sims,Richard Sims,,25,25,25
USA,8411,Paul Von Grey,Anthony Devita,,26,26,26
GER,8665,Jens-Peter Schlomka,Thomas Tschentscher,,27,27,27
GER,8424,Peter Gerdts,Karsten Lahrs,,28,28,28
ZIM,8748,Patrick Mccosh,Gilles Carvallo,,29,29,29
AUS,8781,Earle Alexander,Ken Lockenby,,30,30,30
FRA,8683,Gerard Tilly,Xavier Tilly,,31,31,31
GBR,8745,Chris Pearson,Frank Rainsborough,,32,32,32
USA,8593,Evert Meyer,Graham Schelter,,33,33,33
AUS,8506,Mark Robertshaw,John Rayner,,34,34,34
