Sail No,Boat,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,Points,Place
GER,8788,Wolfgang Hunger,Holger Jess,,2,10*,3,5,1,2,9,22,1
GBR,8774,Ian Pinnell,Tim Hancock,,6,9,2,4,16*,10,1,32,2
SWE,8655,Krister Bergström,Thomas Moss,,4,4,10,1,19*,11,3,33,3
USA,8762,Daniel Thompson,Andrew Zinn,,5,7,15*,10,4,5,7,38,4
USA,8714,Howard Hamlin,Mike Martin,,18,1,26*,3,11,7,2,42,5
GER,8670,Dietrich Scheder-Bieschin,Rainer Görge,,14,14,42*,21,2,3,13,67,6
AUS,8780,Brett van Munster,Geoff Lange,,1,17,23,17,6,4,106*,68,7
GBR,8773,Simon Payne,Bill Masterman,,10,11,20,9,26*,6,22,78,8
SWE,8232,Ebbe Rosén,Olle Wenrup,,64*,APA20.5,5,23,10,1,20,"79,5",9
USA,7873,Nick Adamson,Alan Norman,,11,5,7,41*,20,12,26,81,10
USA,8643,Barney Harris,Clayton James,,19,41,8,2,45*,13,12,95,11
SWE,8768,Johan Molund,Johan Barne,,44*,2,13,30,3,44,5,97,12
AUS,8782,Andrew Hewson,Frank Karlovecz,,41*,8,24,8,13,33,11,97,13
AUS,8784,Hugh Stoddart,Simon Gorman,,7,6,1,35,41*,9,40,98,14
DEN,8440,Per Larsen,Uffe Andersen,,3,33,38*,6,5,37,28,112,15
GBR,8752,Chips Howarth,Paul Young,,26,39*,34,11,7,22,14,114,16
USA,7771,Andy Beeckman,Ben Benjamin,,33,13,35*,22,9,32,6,115,17
POR,8742,Alvaro Marinho,Tiago Marcelino,,36*,19,18,20,15,21,24,117,18
USA,7069,John Meade,David Byron,,15,31,45*,16,31,8,18,119,19
FRA,8702,Philippe Boite,Fabrice Toupet,,APA23.33,20,31,19,12,15,43*,"120,33",20
USA,8631,Ryan Cox,Carl Smit,,9,3,41*,38,34,22,15,121,21
USA,7875,Jeff Miller,Jeffrey Nelson,,42*,12,40,15,18,20,16,121,22
USA,8554,Douglas Hagan,Stuart Park,,29,18,30*,7,28,24,17,123,23
GER,8744,Jörg Häger,Hans-Heinrich Rix,,28,30,11,13,21,36*,23,126,24
DEN,8620,Jan Saugmann,Morten Ramsbæk,,58,16,4,12,29,18,106*,137,25
POR,855,Afonso Domingos,Henrique Anjos,,106*,21,6,50,13,14,37,141,26
CAN,8263,"Alexander ""Ali"" Meller",Stephen Lovshin,,13,30,29,37,49*,30,8,147,27
GER,8775,Tom Swift,Martin Schöler,,40,29,17,42*,23,29,10,148,28
AUS,8696,Carter Jackson,Darren Nicholson,,51,23,9,18,17,31,106*,149,29
GER,8376,Volker Niediek,Stefan Heising,,12,26,25,40*,35,26,35,159,30
DEN,8622,Tom Bøjland,Jakob Karbo,,56*,22,51,34,35,16,19,177,31
GER,8665,Jens-Peter Schlomka,Thomas Tschentscher,,35,36,53*,26,36,23,21,177,32
AUS,8644,David Porter,Peter Holden,,8,32,32,57*,14,49,44,179,33
USA,6991,Bill Jenkins,Dan Merino,,39,52,55*,49,25,25,4,194,34
GER,8632,Christian Kellner,Klaus Stammerjohann,,25,50,19,29,54*,39,46,208,35
GER,8769,Stefan Böhm,Gerald Roos,,46,15,39,47*,37,45,27,209,36
AUS,8588,Mark Stowell,Christopher Blackman,,21,49,27,45,44,34,106*,220,37
SWE,8551,Anders Nordström,Johan Arvedson,,20,24,47,61*,22,51,57,221,38
GER,8669,Tim Böger,Jens Weishaupt,,62*,48,14,27,56,50,29,224,39
