Team,Number,Hull,Mast,Sails,
1,Hunger / Jess,GER-8788,Rondar 2001,Super-Spars M2,Bojsen-Möller
2,Pinnell / Hancock,GBR-8774,Rondar 2001,Proctor D,Pinnell
3,Bergström / Moss,SWE-8655,Rondar 97,Proctor Cumulus,Rebell
4,Thomson / Zinn,USA-8762,Waterat 2001,Proctor D,Ullman
5,Hamlin / Martin,USA-8714,Waterat 99,Proctor D,Ullman
6,Scheder / Görge,GER-8670,Rondar 97,Super-Spars M2,Bojsen-Möller
7,vanMunster / Lange,AUS-8780,vanMunster 2001,Proctor Cumulus,vanMunster
8,Payne / Masterman,GBR-8773,Rondar 2001,Super-Spars M2,Ullman
9,Rosen / Wenrup,SWE-8232,Waterat 89,Proctor D,Rebell
10,Adamson / Norman,USA-7873,Waterat 86,Proctor D,Ullman
11,Harris / Clayton,USA-8643 (7879),Waterat 86,Proctor D,North
12,Molund / Barne,SWE 8768,Kulmar 2001,Proctor Cumulus,Rebell
13,Hewson / Karlowecz,AUS8782,vanMunster 2001,Proctor D,Pinnell
14,Stodart / Gormann,AUS-8752,Young Marine 2000,Proctor D,Ullman
15,Larsen / Andersen,DEN-8440,Waterat 92,Super-Spars M7+,Bojsen-Möller
